ID,语句
12-001,学者当先立乎其大者。——《亭林文集》 〔意译〕
12-002,真正的哲学家，终其一生都在练习死亡与死的状态。——〔译〕《斐多》64a
12-003,幸福，是可欲的；但有时为更高的善而牺牲幸福，这本身即是幸福。——《功利主义·第二章》〔译〕
12-004,它是唯一者，连续不可分；因为它与自身处处相似。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
12-005,科学不思；它只在存在者层面运作。——《演讲与论文集·什么叫思想？》〔译〕
12-006,历史中的个人，是「世界历史个人」，他们实现了时代的精神。——《历史哲学讲演录》〔译〕
12-007,相濡以沫，不如相忘于江湖。——《庄子·大宗师》
12-008,真正的自由，是摆脱对消遣的奴役，回到自己的内心。——《思想录》L164〔意译〕
12-009,古人精神，不只是在书上。——《语录》
12-010,颜子所好者，何学也？学以至圣人之道也。——《颜子所好何学论》
12-011,言而当，知也；默而当，亦知也。——《荀子·非十二子》
12-012,生命的权力（bio-power）以「使活」与「任死」为运作方式。——《必须保卫社会》〔译〕
12-013,魔鬼之恶，不在被造的本性，而在其悖逆的选择。——《论自由意志·3·1》〔译〕
12-014,一饼、一壶酒、一卷诗，你在我旁荒野之中——此即天堂。——《鲁拜集》（菲茨杰拉德英译第5版，「一卷诗」首）〔译〕
12-015,无念为宗，无相为体，无住为本。——《坛经》（敦煌本）
12-016,不要怕神，也不要怕死；善的事物容易得到，可怕的事物容易忍受。——〔译〕《致美诺寇的信》LM
12-017,吾平生讲学，只是「致良知」三字。——《寄正宪男手墨》
12-018,思想是我的本质，没有思想，我就不存在。——《第一哲学沉思集》第二沉思〔意译〕
12-019,最容易的是滑向两个极端，最难的是命中那居中的一点。——〔译〕《尼各马可伦理学》1109b
12-020,不患人之不己知，患不知人也。——《论语·学而》
12-021,良知，是社会强加于个人的第二道律令。——《论自由·第四章》〔译〕
12-022,我的一生，是渴望理解世界、也渴望被世界理解的一生。——《自传》〔意译〕
12-023,一个人失去的不是过去的生活，也不是未来的生活，因为他并不拥有它们；他失去的只是他此刻正在过的生活。——《沉思录》卷二·14
12-024,因果推断的根基是习惯，而非逻辑必然性。——《人性论》卷一·部三·章十四〔意译〕
12-025,哲学不改进我，它只是让我看清自己语言的混乱。——《哲学研究》§133〔意译〕
12-026,夫爻者，言乎变者也。——《周易略例·明爻通变》
12-027,史者，所以鉴往知来、考治乱之迹。——《亭林文集》 〔意译〕
12-028,只有两条探究之路可陈说：其一，它存在，且不可能不存在——这是说服之路，与真理同行；其二，它不存在，且必然不存在——此路绝不可知。——〔译〕《论自然》残篇 DK B2（辛普里丘转引）
12-029,有定理而无定法。——《读通鉴论》
12-030,我警惕一切把我变成权威的企图。——《权力的眼睛》〔意译〕
12-031,三统并建：道统、学统、政统。——《政道与治道》 〔意译〕
12-032,大全（das Umgreifende）是一切存在者得以被包含的无所不包的境域。——《哲学》〔译〕
12-033,上帝在时间之初创造了物质以及运动的量与方式，如今仍通过同一行为维持它们。——《哲学原理》第二部分·§36〔意译〕
12-034,至诚则动，动则变，变则化。——《通书·拟议》
12-035,思想若离了存在，便无所思；因为思者之外，别无他物。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
12-036,圣人之于物也，即万物之自虚，不假虚而虚物。——《不真空论》
12-037,古今之变，非一途；治者当观其会通。——《读经示要》 〔意译〕
12-038,我从不寻求成为谁的导师；我写作是为了让问题保持开放。——《权力的眼睛》〔意译〕
12-039,国家，是伦理理念的现实。——《法哲学原理·§257》〔译〕
12-040,时间是大自然借给我们的，它终将收回；没有什么真正属于我们。——《论生命之短暂·1》〔译〕
12-041,你比我最显的作为更真实，比我最深的自我更亲切。——《忏悔录·3·6》〔译〕
12-042,人主自用其刑德，则群臣畏其威而归其利矣。——《韩非子·二柄》
12-043,我们在受造界中看见神的痕迹，正如在书页中读作者。——《论三位一体·1·?》〔译〕
12-044,每种技艺与每种探究，都以某种善为目的。——〔译〕《尼各马可伦理学》1094a
12-045,天之生物，其化不息。——《思问录·内篇》
12-046,食肉者断大慈悲佛性种子。——《坛经》（敦煌本）
12-047,一个好社会，应让尽可能多的人获得幸福，而不只让少数人掌握权力。——《社会重建的原则》〔译〕
12-048,地狱、畜生、饿鬼之苦，皆由自业所感，非从外得。——《长阿含经·游行经》
12-049,以刑去刑，虽重刑可也。——《商君书·去强》
12-050,天者，百神之君也，王者之所最尊也。——《春秋繁露·郊义》
