ID,语句
11-001,万人之中难得有一人能凭理性把握那最高的善。——〔译〕《理想国》494a—495a
11-002,施存雄而无术。——《庄子·天下》（庄子评惠施）
11-003,我的确知并非来自论证，而来自生活形式。——《论确实性》§358〔译〕
11-004,人生天地之间，若白驹之过隙，忽然而已。——《庄子·知北游》
11-005,人而无信，不知其可也。——《论语·为政》
11-006,上善若水。水善利万物而不争，处众人之所恶，故几于道。——《道德经·第八章》
11-007,狗向它不认识的人狂吠。——〔译〕《残篇》DK B97（普鲁塔克转引）
11-008,看文字，须要入在里面，猛滚一番。——《语类》
11-009,理性有其界，不能证后世之复活与赏罚。——《哲学家的矛盾》〔译〕
11-010,学空之人，先学破我执，我执破已，乃能入空。——《十二门论·观因缘门》〔意译〕
11-011,若问进餐的恰当时刻：富人随时，穷人能吃到时。——〔译〕《名哲言行录》卷六·54
11-012,音乐与体育并用，方能使灵魂与身体协调，免于偏废。——〔译〕《理想国》410b—412a
11-013,人若只依人性生活便渺小；当依自身中的神性（理性）而活。——〔译〕《尼各马可伦理学》1178a—b
11-014,一饭之恩，当终身念。——《徒然草》〔译〕
11-015,在孤独中，孤独者吞噬自己；在人群中，众人吞噬他。现在选择吧。——《查拉图斯特拉如是说·论爱邻人》〔意译〕
11-016,凡清楚认识万物必出于神本性的人，不会怨恨或嘲笑，只会理解。——《伦理学》第四部分·命题五十附释〔意译〕
11-017,在不幸中，人变得以自我为中心；而自我中心又加深不幸，形成循环。——《幸福之路》〔译〕
11-018,中西之会通，在各自尽其性而后相济。——《中国哲学十九讲》 〔意译〕
11-019,"灵魂与身体结合，在生者看来近乎""被埋入""；哲学即练习解脱。——〔译〕《斐多》82e—83e"
11-020,你以为自己在寻道，实是道在寻你。——《玛斯纳维·卷三》〔译〕
11-021,快乐不是目的，而是好好生活的结果。——《幸福之路》〔意译〕
11-022,一家之言，必有其所以立之根柢。——《十力语要·卷一》 〔意译〕
11-023,君之所好，民必从之。——《汉书·董仲舒传》（举贤良对策）
11-024,君子战虽有陈，而勇为本焉。——《墨子·修身》
11-025,天理之流行于社会，谓之礼。——《新原人》 〔意译〕
11-026,所谓自由意志，其实是能力问题，而非意志本身自由。——《人类理解论》卷二·章廿一·节10〔意译〕
11-027,凡不依赖外物者，才是真正自由；你若把自由系于财富或他人的脸色，便把枷锁戴在了自己手上。——《论说集·4·1》〔意译〕
11-028,意向对象并非心理内容的投影，而是被意指的意义统一体。——《纯粹现象学通论》§89〔译〕
11-029,不生亦不灭，不常亦不断，不一亦不异，不来亦不出。——《中论·观因缘品》（八不偈）
11-030,现实先于潜能；已成的活动高于将成的倾向。——〔译〕《形而上学》1050a—b
11-031,善战者，能为不可胜，不能使敌之可胜。——《孙子兵法·形篇》
11-032,慷慨是钱财方面的适度：乐于给予，且给予得当。——〔译〕《尼各马可伦理学》1119b—1120b
11-033,没有上帝，一切归为偶然或必然，人仍不得安宁。——《思想录》L281〔意译〕
11-034,自然是「合目的性」地安排的，即便我们无法证明其目的。——《判断力批判·导论》〔译〕
11-035,人才之显，待其时运。——《徒然草》〔译〕
11-036,我的灵魂若贪恋受造之物，便在暂存中疲惫；唯归向永恒者得安。——《忏悔录·4·12》〔译〕
11-037,世间的美，足以让人原谅其无意义的存在。——《西西弗神话》〔意译〕
11-038,白马非马，可乎？曰：可。——《公孙龙子·白马论》
11-039,连恶之发生，神也能用以成更大的善；这非恶之为善，乃神之能大。——《上帝之城·11·?》〔译〕
11-040,我的自由在于：我可以赞同或不赞同一个判断。——《第一哲学沉思集》第四沉思〔意译〕
11-041,世俗的同情，常是逃避真责任的借口。——《爱的作为》（本名）〔译〕
11-042,人，不是被批量制造的物品。——《论自由·第三章》〔译〕
11-043,真理不能自相矛盾；哲学与启示同出一源，故终不相悖。——《反异教大全·I·7》〔译〕
