ID,语句
04-001,万物皆有理，若不知穷理，如梦过一生。——《张子语录》
04-002,登上顶峰的斗争本身，足以充实人的心灵。——《西西弗神话》〔译〕
04-003,面对死亡，我选择把它看作自然秩序的一部分，而非灾祸。——《自传》〔意译〕
04-004,人不能安心做野兽，又无法真正成为天使。——《思想录》L162〔意译〕
04-005,存在之为存在，是首要、最普遍的探究对象。——〔译〕《形而上学》1003a
04-006,天倪者，自然之均也。——《庄子注·齐物论》
04-007,虚荣深植于人心；即便我们嘲笑它，它仍使我们虚荣。——《思想录》L412〔意译〕
04-008,心若清净，则见一切法清净；心若染着，则一切成缚。——《大智度论·卷三十二》〔意译〕
04-009,理论不能被证实，只能被暂时驳倒。——《科学发现的逻辑》〔译〕
04-010,过度的自由使民主制堕落为僭主制。——〔译〕《理想国》562a—564a
04-011,所谓净化，正是指灵魂尽可能脱离身体、独自居留。——〔译〕《斐多》67c—68a
04-012,希望鼓舞智者，却欺骗愚者。——〔译〕《残篇》DK B55（斯托拜乌斯转引）
04-013,太阳不会越出它的尺度；否则正义的复仇女神自会将其擒获。——〔译〕《残篇》DK B94（普鲁塔克《论自然哲学》转引）
04-014,人的类本质，是自由自觉的活动。——《1844年经济学哲学手稿》〔译〕
04-015,见贤思齐焉，见不贤而内自省也。——《论语·里仁》
04-016,我若自以为已有所知，就无法继续追问；正因承认无知，我才能不断求索。——柏拉图《申辩篇》〔意译〕
04-017,修习空观，能断一切见网，见网断已，心得自在。——《十二门论·观因缘门》〔意译〕
04-018,朴，真也。真散则百行出，殊类生，若器也。——《老子注·二十八章》
04-019,当你只向外寻求时，你就失去了自己。——《非此即彼》（Victor Eremita 编纂）〔译〕
04-020,书生论道，不如村翁一醉见真。——《鲁拜集》〔译〕
04-021,自在天以摩耶为力创造世界，彼自身则不染创造。——《梵经注·卷二》〔译〕
04-022,星图既定，人算徒劳。——《鲁拜集》〔译〕
04-023,我在感知时，并非拥有对象的全部，而是拥有它「侧面性的」显现。——《纯粹现象学通论》§43〔译〕
04-024,本体之流行于万物，即是天道之遍在。——《心体与性体·第一部》 〔意译〕
04-025,恐惧是这一切的根基——对神秘的恐惧、对失败的恐惧、对死亡的恐惧。——《为什么我不是基督徒》〔译〕
04-026,权力欲，或许是历史中最强大的动机力量。——《权力论》〔译〕
04-027,新唯物主义的立足点，是人类社会或社会化了的人类。——《关于费尔巴哈的提纲》第十条〔译〕
