ID,语句
14-001,良好的心性，是最好的财富。——〔译〕《残篇》DK B76（斯托拜乌斯转引）
14-002,今有构木钻燧于夏后氏之世者，必为鲧禹笑矣。——《韩非子·五蠹》
14-003,我必须将自然态度的总设定放进括号，加以悬置。——《纯粹现象学通论》§31〔译〕
14-004,业烦恼灭故，名之为解脱；非离世间，别有大涅槃。——《中论·观四谛品》〔意译〕
14-005,人伦有礼，朝廷有法。——《与山巨源绝交书》
14-006,见义不为，无勇也。——《论语·为政》
14-007,事事物物，当体即是佛法，不假思惟。——《正法眼藏·現成公案》
14-008,富而无学者，如披着金毛的羊。——〔译〕《名哲言行录》卷六·58
14-009,倾听本身，就是一种解脱。——《克里希那穆提讲演录》〔译〕
14-010,道德之在于社会，如规矩之于方圆。——《新原人》 〔意译〕
14-011,所谓敬者，主一之谓敬；所谓一者，无适之谓一。——《遗书》卷十五
14-012,我能够设想一个没有形体的我，却不能设想一个没有思想的我。——《第一哲学沉思集》第六沉思〔意译〕
14-013,本真的时间性使「此在」成为历史的个体。——《存在与时间》§72〔译〕
14-014,业（karma）如种子，无明为田，智火能焚。——《梵经注·卷三》〔译〕
14-015,菩提只向心觅，何劳向外求玄。——《坛经》（敦煌本）
14-016,勤学如春起之苗，不见其增，日有所长。——《亭林文集》 〔意译〕
14-017,器亦道，道亦器。——《遗书》卷一 ⚠️二程未分（卷一为二先生语）
14-018,万物都按不变的法则运行，如同几何证明般必然。——《伦理学》第三部分·命题二附释〔意译〕
14-019,民主之下虽贫，犹胜僭主之下虽富；前者如自由，后者如奴役。——〔译〕《残篇》DK B251（斯托拜乌斯转引）
14-020,泛爱万物，天地一体也。——《庄子·天下》（历物十事之十） #self-other
14-021,理念是真实的存在，事物只是它的摹本与影子。——〔译〕《理想国》596a—598b
14-022,夫天下之人，各有所好。——《焚书》
14-023,清醒（节制）是最大的德性；智慧在于说真话，并依自然而行。——〔译〕《残篇》DK B112（斯托拜乌斯转引）
14-024,世间万法，皆是佛法之方便。——《正法眼藏·仏法》
14-025,让意志静默，是审美的先决条件。——《作为意志和表象的世界·第三篇》〔译〕
14-026,若没有不义，正义之名便无人知晓。——〔译〕《残篇》DK B23（克莱门《杂记》转引）
14-027,天将阴雨，人之病故为之先动，是阴相应而起也。——《春秋繁露·同类相动》
14-028,人通过伟大的哲学家，才得以认识存在的多种可能。——《大哲学家》〔意译〕
14-029,知名位之伤德，故忽而不营；非欲而强禁也。——《养生论》
14-030,小人勿用，必乱邦也。——《易传·师卦》
14-031,大多数语词的歧义，源于它们所标记的观念模糊。——《人类理解论》卷三·章九·节3〔意译〕
14-032,精进求法，当如救头燃；懈怠者，虽闻不受益。——《大智度论·卷十六》〔意译〕
14-033,诸法假号不真，譬如幻化人，非无幻化人，幻化人非真人也。——《不真空论》
14-034,国家，是统治阶级的组织。——《德意志意识形态》〔译〕
14-035,善守者，藏于九地之下；善攻者，动于九天之上。——《孙子兵法·形篇》
14-036,仁言不如仁声之入人深也。——《孟子·尽心上》
14-037,关于实际事情的知识，都建立在因果关系之上。——《人性论》卷一·部三·章一〔意译〕
14-038,真理不是一枚铸成的硬币，可以现成地传递。——《精神现象学·序言》〔译〕
14-039,理性不是已经完成的，而是在历史中自我要求的任务。——《欧洲科学的危机与超越论的现象学》§7〔译〕
14-040,人心最大的病，是把受造之物当作造物主来爱。——《忏悔录·4·12》〔译〕
14-041,学案之体，所以明师承、辨宗旨。——《明儒学案·发凡》 〔意译〕
14-042,空间不是绝对的实体，而是事物并存的秩序。——《与克拉克论战书信集》第三函〔意译〕
14-043,春之消息至，枯枝亦知回暖。——《鲁拜集》〔译〕
14-044,对自己内在状态的表达，是经训练获得的公共行为，而非私密的命名。——《哲学研究》§244〔译〕
14-045,闲邪存其诚，修辞立其诚。——《易传》
14-046,音乐，是意志的直接客体化。——《作为意志和表象的世界·第三篇》〔译〕
14-047,夫福出于性，非假物也。——《庄子注·人间世》
14-048,太阳每天都是新的。——〔译〕《残篇》DK B6（普鲁塔克《论面庞》转引）
14-049,真际是纯真底，实际是实底。——《新理学·第一章》
14-050,言论与出版自由，是防止真理僵化的保障。——《论自由·第二章》〔译〕
14-051,真理，常先被视为异端，再被视为常识。——《作为意志和表象的世界》〔译〕
14-052,虚空者，气之本体。——《张子正蒙注·太和篇》
