ID,语句
13-001,不要像一件被牵扯的木偶那样行事。——《沉思录》卷七·3〔意译〕
13-002,故视强，则目不明；听甚，则耳不聪；思虑过度，则智识乱。——《韩非子·解老》
13-003,春风一度，且尽杯中，莫计来生。——《鲁拜集》〔译〕
13-004,惩罚使人变得温顺，而不是变得更好。——《论道德的谱系·第二论文》〔意译〕
13-005,熟知非真知。——《精神现象学》〔译〕
13-006,此在的本质在于它的生存。——《存在与时间》§9〔译〕
13-007,天者，本体之名。——《读经示要·卷一》 〔意译〕
13-008,岁寒，然后知松柏之后凋也。——《论语·子罕》
13-009,社会的进步，依赖于个性的多样性。——《论自由·第三章》〔译〕
13-010,我反抗，故我们存在。——《反抗者》〔译〕
13-011,青以白非黄，白以青非碧。——《公孙龙子·通变论》
13-012,真正的变革，是个人的内心革命。——《一生的学习》〔译〕
13-013,无其器则无其道。——《周易外传·卷五》
13-014,我向雕像乞讨，是为习惯被拒绝，以免依赖他人善意。——〔译〕《名哲言行录》卷六（据其轶事）
13-015,人天生就渴求知识，例证是人都喜感官知觉。——〔译〕《形而上学》980a
13-016,至人无己，神人无功，圣人无名。——《庄子·逍遥游》
13-017,雅典人啊，我尊敬你们，但我服从神甚于服从你们。——柏拉图《申辩篇》29d〔译〕
13-018,刑过不避大臣，赏善不遗匹夫。——《韩非子·有度》
13-019,盖仁之为道，乃天地生物之心，即物而在。——《仁说》
13-020,你骂他人之缺，实是你己身之影。——《玛斯纳维·卷二》〔译〕
13-021,一个人必须心中怀有混沌，才能生出一颗舞动的星。——《查拉图斯特拉如是说·序言》
13-022,热情（zest）是幸福与健康的秘诀。——《幸福之路》〔译〕
13-023,物固有所然，物固有所可。——《庄子·齐物论》
13-024,般若波罗蜜，是诸佛之母，能生一切佛。——《大智度论·卷一》
13-025,视不得其所坚而得其所白者，无坚也；拊不得其所白而得其所坚者，无白也。——《公孙龙子·坚白论》
13-026,宽恕与承诺，是行动面对其不可逆性的两种补救。——《人的境况》〔译〕
13-027,能制伏自己愤怒的人，胜过攻下一座城。——《论愤怒·1·3》〔译〕
13-028,出其所位，非位；位其所位焉，正也。——《公孙龙子·名实论》
13-029,知是心之本体，心自然会知。——《传习录》上
13-030,民主建国，是政统之现代形态。——《政道与治道》 〔意译〕
13-031,祈祷是理性受造物把心转向神的举扬；它本于人需，亦本于神恩。——《神学大全·II-II·q.83·a.1》〔译〕
13-032,知吾卒之可以击，而不知敌之不可击，胜之半也；知敌之可击，而不知吾卒之不可以击，胜之半也。——《孙子兵法·地形篇》
13-033,伤害原则：个人自由止于伤害他人之处。——《论自由·第一章》〔译〕
13-034,故圣人未始有其身，而况于他物乎？——《庄子注·徐无鬼》
13-035,造化所成，无一物相肖者；以是知万物虽多，其实无一物无阴阳者。——《正蒙·动物》
13-036,自由与解放不同：解放是摆脱了压迫，自由是建立了公共空间。——《论革命》〔意译〕
13-037,拘礼之人，不足与言事；制法之人，不足与论变。——《商君书·更法》
13-038,美，是理念的感性显现。——《美学讲演录》〔译〕
13-039,最安稳的保护，是远离众人、过安静的生活。——〔译〕《主要学说》KD 14
13-040,宗教，我以为，主要地是建立在恐惧之上。——《为什么我不是基督徒》〔译〕
13-041,世儒学者，好信师而是古，以为贤圣所言皆无非。——《论衡·问孔》
13-042,学贵心悟，守旧无功。——《张子语录》
13-043,人类关系是永恒的紧张，而非和谐。——《存在与虚无》〔意译〕
13-044,心平何劳持戒，行直何用修禅。⚠️（此二句出于宗宝本《坛经·疑问品》，敦煌本无，附此以全其说）
13-045,个性的张扬，需要社会的宽容。——《论自由·第三章》〔译〕
13-046,读书不多，无以证斯理之变化。——《亭林文集·与人书》 〔意译〕
13-047,修习于慈，其心则柔软；修习于悲，其心则广大。——《杂阿含经·卷二十七》
13-048,凡天下疲癃、残疾、惸独、鳏寡，皆吾兄弟之颠连而无告者也。——《西铭》
13-049,即使全人类持一种意见，而只有一人持相反意见，这人的言论也该被容忍。——《论自由·第二章》〔译〕
13-050,汝即彼（Tat tvam asi，彼即汝）。——《梵经注·卷一》（引唱赞奥义书，梵文原句）
13-051,数学与逻辑并非两门学科，逻辑是数学的青春。——《数学原理》〔译〕
13-052,海是最纯净的水，又是最污浊的水：对鱼可饮而有益，对人不可饮而致命。——〔译〕《残篇》DK B61（普鲁塔克转引）
