ID,语句
02-001,一个人成熟的标志，是重新找回童年游戏时的那份认真。——《善恶的彼岸》箴言94〔意译〕
02-002,人应当成为自己荒诞的主人。——《西西弗神话》〔意译〕
02-003,故明主之国，无书简之文，以法为教；无先王之语，以吏为师。——《韩非子·五蠹》
02-004,天地万物，与人原是一体。其发窍之最精处，是人心一点灵明。——《传习录》下
02-005,一个人若以说谎来图利，便在根本上放弃了作为理性存在者的尊严。——《论出于道德理由说谎的所谓权利》（1797）〔译〕
02-006,知人者，智而已矣，未若自知者，超智之上也。——《老子注·三十三章》
02-007,博学于文，行己有耻。——《亭林文集·与友人论学书》
02-008,政治权力若僭越为绝对，便成为新的偶像。——《时代的精神状况》〔意译〕
02-009,上帝是原始单子，是万物之根源。——《单子论》第47节〔意译〕
02-010,我们的知识只能是有限的，而我们的无知必然是无限的。——《猜想与反驳》〔译〕
02-011,故先王不淫意于法之外，不为惠于法之内。——《商君书·修权》
02-012,五戒者：不杀生、不偷盗、不邪淫、不妄语、不饮酒。——《杂阿含经·卷三十三》
02-013,万乘之患，大臣太重；千乘之患，左右太信：此人主之所公患也。——《韩非子·孤愤》
02-014,君臣、父子、夫妇之义，皆取诸阴阳之道。——《春秋繁露·基义》
02-015,古之君子，学以为己。——《语类》
02-016,狮子与蜥蜴践踏往日宫殿。——《鲁拜集》〔译〕
02-017,梵无始无终、无内无外、无方无处，唯是「存在—觉知—极喜」（sat-cit-ānanda）。——商羯罗《梵经注》〔译〕
02-018,国家之患，莫大于用小人而弃君子。——《日知录》 〔意译〕
02-019,先验自我是一切意义与存在认定的最终源头。——《纯粹现象学通论》§97〔译〕
02-020,思想，是「我」与「我自己」之间那场无声的对话。——《精神生活·思维》〔译〕
02-021,共和国的政体，是唯一完全符合人类权利的宪政。——《永久和平论》（1795）〔译〕
02-022,人们做出恶行，是因为不知道什么是善；一旦明白，就不会再犯。——《沉思录》卷十一·18 前后〔意译〕
02-023,唯道集虚。虚者，心斋也。——《庄子·人间世》
02-024,我宁愿要荒谬的清醒，不要舒适的盲信。——《西西弗神话》〔意译〕
02-025,至高的爱，是把一个人当作他应当成为的样子来爱。——《爱的作为》（本名）〔译〕
02-026,无知的根源，在于以为自己知道。——柏拉图《申辩篇》29b〔译〕
02-027,我把写作当作一种实验，而非一种宣告。——《言与文》〔意译〕
02-028,节制是理性的守护；它约束那逾矩的欲。——《神学大全·II-II·q.141·a.1》〔译〕
02-029,沉默是神的言语，其余皆是蹩脚的翻译。——《玛斯纳维·卷六》〔译〕
02-030,朴素而天下莫能与之争美。——《庄子·天道》
02-031,世人性本清净，万法在自性。——《坛经》（敦煌本）
02-032,心灵的知觉比身体的知觉更可靠。——《第一哲学沉思集》第二沉思〔意译〕
02-033,虽是人欲，亦天理也（天理人欲，同行异情）。——《语类》卷十三
02-034,不患其无才，患其无识。——《语录》（卷三十五）
02-035,常常问问自己：这件事对我而言是必要的吗？——不必做不必要的事，会省下许多烦恼。——《沉思录》卷四·24〔意译〕
02-036,快乐的界限，在于痛苦的消除；越过此限，快乐不再增益。——〔译〕《主要学说》KD 3
02-037,只要你还在比较，就永远有冲突。——《重新认识你自己》〔译〕
02-038,规则的意义由共同体实践所固定。——《哲学研究》§240〔译〕
02-039,时间是吞噬一切的河流，名誉与帝国亦不能幸免。——《思想录》〔意译〕⚠️
02-040,温故而知新，可以为师矣。——《论语·为政》
02-041,人才有高下，知物由学，学之乃知，不问不识。——《论衡·实知》
02-042,德性的价值在于它带来的效用与愉悦。——《道德原则研究》〔意译〕
02-043,循序而渐进，熟读而精思。——《读书之要》
02-044,自我不是实体，而是语言游戏中的占位。——《哲学研究》〔意译〕
02-045,操行有常贤，仕宦无常遇。——《论衡·逢遇》
02-046,人与人靠共同的约定（法律与习俗）相连；你既享其利，便当守其约。——《论恩惠·1·4》〔译〕
02-047,我的幸福是朴素的：阳光、海、与当下的身体。——《西西弗神话》〔意译〕
