ID,语句
10-001,人皆有是心，心皆具是理，心即理也。——《与李宰书》（卷十一）
10-002,当有人对你行不义，记住他依其判断而行，正如你也曾依错误判断而行；原谅他，如同原谅从前的自己。——《手册·18》〔意译〕
10-003,现代技术是一种「座架」（Gestell），把世界当作可计算的库存。——《技术的追问》〔译〕
10-004,我只要求一件事：做我自己。——《日记》（Papirer）〔译〕
10-005,贤者以其昭昭使人昭昭，今以其昏昏使人昭昭。——《孟子·尽心下》
10-006,我的良知只对具体之事说话，不对抽象之史。——《责任与判断》〔意译〕
10-007,强而不战，必损其国；战而不胜，必亡其国。——《商君书·去强》
10-008,沉默是金，言多必失其智。——《宗教学科的复兴》〔译〕
10-009,预言历史的企图，本身会扭曲被预言的历史。——《历史决定论的贫困》〔意译〕
10-010,理气本无先后之可言，然必欲推其所从来，则须说先有是理。——《语类》卷一
10-011,历史由行动者书写，而非由宿命决定。——《辩证理性批判》〔意译〕
10-012,我之为我，在于我敢于不合时宜地思考。——《精神生活·思维》〔意译〕
10-013,民之难治，以其上之有为，是以难治。——《道德经·第七十五章》
10-014,我无法忍受的不是无知，而是被一个单一的真理所统治。——《权力的眼睛》〔意译〕
10-015,将者，智、信、仁、勇、严也。——《孙子兵法·计篇》
10-016,天地间，至尊者道，至贵者德而已矣；至难得者人，人而至难得者，道德有于身而已矣。——《通书·师友上》
10-017,当世界变得重要，自我便变得微小。——《日记》（Papirer）〔译〕
10-018,异化源于人创造的制度反过来支配人。——《辩证理性批判》〔译〕
10-019,孤独，是极权统治得以蔓延的心理前提。——《极权主义的起源》〔译〕
10-020,内在的火，需以泪水浇熄，而非以借口。——《玛斯纳维·卷四》〔译〕
10-021,造化弄人，智者饮以忘之。——《鲁拜集》〔译〕
10-022,天何言哉？四时行焉，百物生焉，天何言哉？——《论语·阳货》
10-023,恐惧源于把过去的记忆投射到未来。——《重新认识你自己》〔译〕
10-024,月轮虽缺，光明不灭；正法虽远，信者能传。——《增一阿含经·卷二十二》〔意译〕
10-025,饥而欲食，寒而欲暖，劳而欲息，好利而恶害，是人之所生而有也。——《荀子·荣辱》
10-026,我能知道什么？我应当做什么？我可以希望什么？而最后，人是什么？——《纯粹理性批判·引言》〔译〕
10-027,犹如有人身中毒箭，不应先问「箭谁所射、何木所作」，当急拔箭。——《中阿含经·箭喻经》（无记不问）
10-028,一个人成熟的标志，是能承受「自己可能是错的」这一事实。——《无穷的探索》〔意译〕
10-029,万物资始乃统天，云行雨施，品物流行。——《易传·乾卦》
10-030,是故南面而治天下，莫不以教化为大务。——《汉书·董仲舒传》（举贤良对策）
10-031,读书有三到：心到、眼到、口到。——《训学斋规》
10-032,知识分二类：利今世者、利后世者；后者为本。——《宗教学科的复兴·卷一》〔译〕
10-033,空间与时间，是感性直观的纯粹形式。——《纯粹理性批判·先验感性论》（A22/B37）〔译〕
10-034,现代科学的危机，根源在于遗忘了生活世界这一意义源头。——《欧洲科学的危机与超越论的现象学》§1〔译〕
10-035,放弃对幸福的追逐，反而获得平静。——《附录与补遗·论意志的自由》〔译〕
10-036,一种不能被检验、不能被反驳的主张，不属于科学。——《科学发现的逻辑》〔译〕
10-037,道家之理想人格，是真人。——《中国哲学简史·第二章》
10-038,大直若屈，大巧若拙，大辩若讷。——《道德经·第四十五章》
10-039,由爱人身之美，逐级攀升至爱制度之美、学问之美，终至美本身。——〔译〕《会饮》210a—211b
10-040,神是不动的推动者，是纯现实、永恒而至善的第一因。——〔译〕《形而上学》1072a—b
10-041,知识与智慧不同：知识是积累的，智慧是当下的。——《重新认识你自己》〔译〕
10-042,死生昼夜，天理之常，智者不惑。——《中国哲学十九讲》 〔意译〕
10-043,人对于人生底觉解，使人生有意义。——《新原人·第一章》
10-044,闲邪则诚自存。——《遗书》卷十五
10-045,道体是流行底，是一切底流行。——《新理学·第四章》
10-046,真正的人道主义，是对异化了的现实的超越。——《1844年经济学哲学手稿》〔译〕
10-047,一切都取决于你的看法。——《沉思录》卷十二·22
10-048,举世而誉之而不加劝，举世而非之而不加沮。——《庄子·逍遥游》
10-049,人作为此在，是存在的「牧者」。——《关于人道主义的书信》〔意译〕
10-050,缘木求鱼。——《孟子·梁惠王上》
10-051,至福并非德性的奖赏，而是德性本身。——《伦理学》第五部分·命题四十二〔意译〕
10-052,虚心受人言，乃进德之基。——《徒然草》〔译〕
10-053,自然中没有任何偶然的东西；一切皆为神本性的必然。——《伦理学》第一部分·命题二十九附释
10-054,穷经以致用，非空谈性命。——《亭林文集》 〔意译〕
10-055,兵农怠而国弱。——《商君书·垦令》
10-056,仁人之事者，必务求兴天下之利，除天下之害。——《墨子·兼爱下》
10-057,自然态度不加考察地设定一个独立于意识的客观世界。——《纯粹现象学通论》§27〔译〕
10-058,形而上学的历史，是存在被规定为存在者的历史。——《路标·论根据的本质》〔意译〕
10-059,想象力支配着人，它造就美、造就正义、造就幸福。——《思想录》L82〔意译〕
10-060,至乐无乐，至誉无誉。——《庄子·至乐》
10-061,人若不为自由抗争，便是自由的同谋。——《存在主义是一种人道主义》〔意译〕
10-062,真正的阅读改变的不是记忆，而是人心。——《思想录》〔意译〕⚠️
10-063,人生，是在痛苦与无聊之间摆动的钟摆。——《作为意志和表象的世界》〔译〕
10-064,我接受自己是有限的、历史的、可变的。——《性经验史》〔意译〕
10-065,若佛出世，若未出世，此法常住，法住法界，缘起之法，古今不易。——《杂阿含经·卷十二》
10-066,我不辨自何来，亦不知去何往，此身如寄于天地。——《鲁拜集》〔译〕
10-067,远游者见广，闭户者见深。——《徒然草》〔译〕
10-068,义理之学，亦须深沉方有造，非浅易轻浮之可得也。——《经学理窟·学大原》
10-069,"人的知识只是""暗弱的光""，离真理尚远。——〔译〕《残篇》DK B（塞克斯都·恩披里柯转引）"
10-070,故智将务食于敌，食敌一钟，当吾二十钟。——《孙子兵法·作战篇》
10-071,谈说之术：矜庄以莅之，端诚以处之，坚强以持之，分别以明之。——《荀子·非相》
10-072,轴心时代的人开始意识到整体的存在、自身与限度。——《历史的起源与目标》〔译〕
10-073,历史感过重是现代人的病；历史必须是生命的仆人，而不是主人。——《不合时宜的沉思·历史对于生命的利与弊》〔意译〕
10-074,纠正自己的过失，胜过纠正他人的过失。——〔译〕《残篇》DK B41（斯托拜乌斯转引）
10-075,主动理智（能思之理性）是不朽的、永恒的、不混杂的。——〔译〕《论灵魂》429a—430a
10-076,万物之中有程度的善、真、贵；必有至善、至真、至贵者为之因。——《神学大全·I·q.2·a.3》〔译〕
10-077,一个词的意义，就是它在语言中的用法。——《哲学研究》§43〔译〕
10-078,制度无法解决人心的腐败。——《克里希那穆提讲演录》〔译〕
10-079,如实知见五受阴，则断贪爱，得心解脱。——《杂阿含经·卷三》
10-080,私人语言不可能，因为规则无法私人地确立。——《哲学研究》§256〔译〕
10-081,生活世界是前科学的、被给予我们的意义基础。——《欧洲科学的危机与超越论的现象学》§34〔译〕
10-082,你若为了身体的舒适而牺牲自由，便是用自己的钱买了一个主人。——《手册·14》〔意译〕
10-083,六经以抑引为主，人性以从容为欢。——《难自然好学论》
10-084,指穷于为薪，火传也，不知其尽也。——《庄子·养生主》
10-085,不应因惧怕惩罚才不行不义。——〔译〕《残篇》DK B78（斯托拜乌斯转引）
10-086,遵从本国法律，是高尚之事。——〔译〕《残篇》DK B257（斯托拜乌斯转引）
10-087,言无务为多而务为智，无务为文而务为察。——《墨子·修身》
10-088,君为阳，臣为阴；父为阳，子为阴；夫为阳，妻为阴。——《春秋繁露·基义》
10-089,令之以文，齐之以武，是谓必取。——《孙子兵法·行军篇》
10-090,科学能告诉我们「是什么」，却无法告诉我们「应当是什么」。——《人类的知识》〔译〕
10-091,教化，使人摆脱自然的直接性，进入普遍的精神。——《精神现象学》〔译〕
10-092,上帝的存在无法由几何般的证明确定，却能由心的需要确证。——《思想录》L424〔意译〕
10-093,三代不同礼而王，五霸不同法而霸。——《商君书·更法》
10-094,当你求神问卜时，记住你所求不过是你自己的恐惧；神已把理性赐你，足堪应对一切。——《手册·29》〔意译〕
10-095,政治之正当，在民意之畅达。——《政道与治道》 〔意译〕
10-096,勇敢是面对高尚之死与危险时的适度，而非无所畏惧。——〔译〕《尼各马可伦理学》1115a—1117b
10-097,千里之堤，以蝼蚁之穴溃；百尺之室，以突隙之烟焚。——《韩非子·喻老》
10-098,终身不休，便是真学。——《焚书》 〔意译概括〕 ⚠️
10-099,反抗者说「不」，却也在那「不」中确认一个「是」。——《反抗者》〔译〕
10-100,违曰悖德，害仁曰贼；济恶者不才，其践形，惟肖者也。——《西铭》
10-101,教会与世俗的合流，是信仰的衰亡。——《致死的疾病》（Anti-Climacus）〔译〕
10-102,心即理也。天下又有心外之事，心外之理乎？——《传习录》上
10-103,爱教会我的，比书本更多。——《自传》〔意译〕
10-104,公共生活的衰落，始于人们退回到私人的舒适。——《人的境况》〔意译〕
10-105,烦（Sorge）是此在整体的存在结构。——《存在与时间》§41〔译〕
10-106,"不义本身并非恶，对""被发觉""的恐惧才是恶。——〔译〕《主要学说》KD 34"
10-107,近者悦，远者来。——《论语·子路》
10-108,古之学者，求其所安；今之学者，求其所异。——《语录》
10-109,私意与公理，利欲与道义，其势不两立。——《语录》
10-110,性体之流行，即是吾人之诚意。——《心体与性体·第二部》 〔意译〕
10-111,知识的穷尽处，是爱的起点。——《玛斯纳维·卷四》〔译〕
10-112,所谓致知在格物者，言欲致吾之知，在即物而穷其理也。——《大学章句·补传》
10-113,金玉满堂，莫之能守；富贵而骄，自遗其咎。——《道德经·第九章》
10-114,习惯是人生的伟大指南。——《人性论》卷一·部三·章十 / 《人类理解研究》〔意译〕
10-115,货币转化为资本，以劳动力成为商品为前提。——《资本论》第一卷·第四章〔译〕
10-116,所有的生命都是解决问题。——《客观知识》〔译〕
10-117,哲人当以自身助人，而非以其财物助人。——〔译〕《名哲言行录》卷六（据言行录）
10-118,死亡并不可怕，可怕的是对死亡的长期预支式恐惧；它只发生一次。——《论心灵的宁静·11》〔译〕
10-119,人是被抛入其生存的，这一被抛性是他无法选择的。——《存在与时间》§29〔译〕
10-120,真理是这个世间之物：它只能在多重约束之下被生产出来。——《权力的眼睛》〔译〕
10-121,太阳喻：善如太阳，既使万物可见，又赋予其生成。——〔译〕《理想国》508a—509a
10-122,由一切诸法，自性本空故，无生亦无灭，本来寂静。——《七十空性论·卷一》
