ID,语句
05-001,存在之真理，需要人被置入其敞开之境。——《关于人道主义的书信》〔译〕
05-002,永恒不是时间的无尽延展，而是全然同在；神之「今」，无过去未来。——《上帝之城·11·?》〔译〕
05-003,天下善恶皆天理。——《遗书》卷二上
05-004,故《中论》云：诸法不有不无者，第一真谛也。——《不真空论》
05-005,体其受而归全者，参乎；勇于从而顺令者，伯奇也。——《西铭》
05-006,若乃骄盈肆志，阻兵擅权，矜威纵虐，祸蒙丘山。——《太师箴》
05-007,性虽出善，而性未可谓善也。——《春秋繁露·深察名号》
05-008,心解则悟，不必泥文。——《张子语录》
05-009,圣人之学，不是这等捆缚苦楚的，不是妆做道学的模样。——《传习录》下
05-010,民主制最能保障和平与自由，尽管难以长久维持。——《政治论》第十一章〔意译〕
05-011,我以我的冷漠对抗世界的冷漠。——《局外人》〔意译〕
05-012,观身如幻，观受如梦，观心如响，是名正观。——《大智度论·卷二十》〔意译〕
05-013,主不可以怒而兴师，将不可以愠而致战。——《孙子兵法·火攻篇》
05-014,受造界在无声中述说造主；你若静听，万物皆言。——《忏悔录·11·4》〔译〕
05-015,语言名字，皆是假立；诸法实相，离于言说。——《大智度论·卷三十二》〔意译〕
05-016,当我对你无话可说，那沉默本身已是赞美。——《忏悔录·1·4》〔译〕
05-017,性相近也，习相远也。——《论语·阳货》
05-018,拥有权利的权利，是流亡者与无国籍者最后、最根本的权利。——《极权主义的起源》〔译〕
05-019,井蛙不可以语于海者，拘于虚也；夏虫不可以语于冰者，笃于时也；曲士不可以语于道者，束于教也。——《庄子·秋水》
05-020,慎独者，学问之第一义。——《明儒学案》 〔意译〕
05-021,理性的胜利，伴随着对非理性的禁闭。——《疯癫与文明》〔译〕
05-022,大巧，因自然以成器，不造为异端。——《老子注·四十五章》
05-023,夫无则湛然不动，可谓之无；有则品物雷同，可谓之有。——《不真空论》
05-024,科学（如医、算）有益，然不可僭越于启示之上。——《迷途指津》〔译〕
05-025,世界的历史充满偶然，伟大帝国的兴衰系于一桩小事。——《思想录》L425〔意译〕
05-026,想想你所活过的岁月，与整个时间相比，不过一瞬。——《沉思录》卷四·50〔意译〕
05-027,人在对象化活动中确证自己。——《1844年经济学哲学手稿》〔译〕
05-028,公者，仁之量也。——《原儒·卷二》 〔意译〕
05-029,伤口，是光进入你之处。——《玛斯纳维·卷二》〔译〕
