ID,语句
01-001,真正的统治者是为被治者谋利，而非为自己聚敛。——〔译〕《理想国》342e—343a
01-002,盈天地皆心也。——《明儒学案·自序》 #self-other
01-003,故彼彼当乎彼，则唯乎彼，其谓行彼；此此当乎此，则唯乎此，其谓行此。——《公孙龙子·名实论》
01-004,民主的缺陷，可由教育的普及来弥补。——《代议制政府》〔译〕
01-005,马者无去取于色，故黄、黑皆所以应；白马者，有去取于色，黄、黑马皆所以色去，故唯白马独可以应耳。——《公孙龙子·白马论》
01-006,当你因不情愿而做一件事时，你已经在其中迷失了。——《沉思录》卷五·1〔意译〕
01-007,太极动而生阳，动极而静，静而生阴，静极复动。——《太极图说》
01-008,天子不仁，不保四海；诸侯不仁，不保社稷。——《孟子·离娄上》
01-009,本质直观让我能够直接看到「红」本身，而不只是某个红色的物体。——《现象学的观念》第四讲〔译〕
01-010,我若以理性指导生活，便不为命运所奴役。——《伦理学》第四部分·命题二十六附释〔意译〕
01-011,夫公私之理，相反而俱通。——《释私论》
01-012,人的自由，不是为所欲为，而是能选择那真正的善；囿于罪者，自由反减。——《神学大全·I-II·q.13·a.6》〔译〕
01-013,我既非雅典人，亦非科林斯人，而是世界公民。——〔译〕《名哲言行录》卷六·63
01-014,众人无不有怀有志，盈溢胸心，故曰皆有以也；我独廓然，无为无欲，若遗失之。——《老子注·二十章》
01-015,志不立，天下无可成之事。——《教条示龙场诸生》
01-016,以正治国，以奇用兵，以无事取天下。——《道德经·第五十七章》
01-017,近不必比，远不必乖。——《周易略例·明爻通变》
01-018,选择，是永恒的，因为它定义你之所是。——《非此即彼》（Victor Eremita 编纂）〔译〕
01-019,一个人如果知道自己为什么而活，就可以忍受任何一种生活。——《偶像的黄昏·箴言与箭》33
01-020,智者把生活看作一场展览，自己只是旁观者。——《作为意志和表象的世界》〔译〕
01-021,俗人昭昭，我独昏昏；俗人察察，我独闷闷。——《道德经·第二十章》
01-022,坐禅者非为成佛，坐禅即是佛之行。——《正法眼藏·坐禅箴》
01-023,他人的成就，不必羡也不必妒；各人按自己的剧本登场与退场。——《致鲁基里乌斯书信集·第1封》〔译〕
01-024,我们所能做的，不是消灭错误，而是让它更快显现。——《客观知识》〔意译〕
01-025,古之学者，优柔厌饫，有先后次序。今之学者，却只做一场话说，务高而已。——《遗书》卷十五
01-026,气质之性，可通过教养而改变。——《新理学》 〔意译〕
01-027,你就是世界，世界就是你。——。——《重新认识你自己》 #self-other〔译〕
01-028,己之未度，先度众生，是菩萨之心。——《正法眼藏·発菩提心》
01-029,基督教世界，已使基督教本身变得廉价。——《致死的疾病》（Anti-Climacus）〔译〕
01-030,专气致柔，言任自然之气，致至柔之和。——《老子注·十章》
01-031,发明本心。——《语录》
01-032,雷霆驾驭万有。——〔译〕《残篇》DK B64（希波吕托斯转引）
01-033,我们的问题是全球性的，却用局部的方案应对。——《人生中不可不想的事》〔译〕
01-034,知识增长的第一步，是承认自己的无知。——《客观知识》〔意译〕
01-035,大化流衍，新新不已。——《体用论》 〔意译〕
01-036,人不一定应当是宗教底，但他一定应当是哲学底。——《中国哲学简史·绪论》
01-037,因果之间，真主是隐秘的联结者。——《哲学家的矛盾》〔译〕
01-038,晚年定力，在忧患中炼出。——《南雷文定》 〔意译〕
01-039,夫辩者，将以明是非之分，审治乱之纪，明同异之处，察名实之理。——《墨子·小取》
01-040,人最深的平安，来自意志与神意之合一；凡顺之者，无真正之失。——《神学大全·I-II·q.69·a.1》〔译〕
01-041,气节者，天下之大闲。——《南雷文定》 〔意译〕
01-042,三人行，必有我师焉。择其善者而从之，其不善者而改之。——《论语·述而》
01-043,多数人的痛苦，来自把「不在己」之事当作「在己」去追求。——《手册·1》〔意译〕
01-044,我的自由在每一次行动中自我确认。——《存在与虚无》〔意译〕
01-045,人藉德行培养自己；德性非天生，乃由习惯而成。——《神学大全·I-II·q.51·a.1》〔译〕
01-046,国将兴，必贵师而重傅。——《荀子·大略》
01-047,他非我不非，我非自有过。——《坛经·无相颂》（宗宝本） ⚠️
01-048,民之见战也，如饿狼之见肉。——《商君书·画策》
01-049,一个总在讨好众人的人，早已把主权重交了出去。——《论幸福生活·1》〔译〕
01-050,公则一，私则万殊。至当归一，精义无二。人心不同如面，只是私心。——《遗书》卷十一
01-051,莫从卑劣法，莫住于放逸，莫随邪见，莫增长爱欲。——《法句经·放逸品》
01-052,实体的多样性意味着无限多个不同的视角。——《单子论》第9节〔意译〕
01-053,冬寒夏暑，阴阳升降，此天地之自然，人岂能推移？——《遗书》卷十一
01-054,人最无法忍受的，莫过于完全的静止与无所事事。——《思想录》L166〔意译〕
01-055,天地以生物为心者也；而人物之生，又各得夫天地之心以为心者也。——《仁说》
01-056,惠施之口谈，自以为最贤。——《庄子·天下》
01-057,临终一念，定平生所养。——《徒然草》〔译〕
01-058,理之所在，天下莫能夺。——《语录》
01-059,我写作不为说服谁，只为把混沌安放成秩序。——《过去与未来之间》〔意译〕
01-060,菩萨于诸法，不取相、不着相，是名正行般若。——《大智度论·卷十八》〔意译〕
