ID,语句
08-001,当善观察，于色生厌离、离欲、灭尽，是名苦边。——《杂阿含经·卷一》
08-002,乾称父，坤称母；予兹藐焉，乃混然中处。——《西铭》
08-003,曰：谓鸡足一，数足二，二而一，故三。谓牛羊足一，数足四，四而一，故五。——《公孙龙子·通变论》
08-004,在各种谨慎之中，爱情里的谨慎或许对真正的幸福最为致命。——《婚姻与道德》〔译〕
08-005,天网恢恢，疏而不失。——《道德经·第七十三章》
08-006,理性于我，是一种需要被不断审视的姿态，而非一种资产。——《知识考古学》〔意译〕
08-007,慎独者，在无愧于暗室。——《心体与性体·第三部》 〔意译〕
08-008,现代的国家政权，不过是管理资产阶级事务的委员会。——《共产党宣言》〔译〕
08-009,古人所以既说一个知，又说一个行者，只为世间有一种人，懵懵懂懂的任意去做。——《传习录》上
08-010,外部世界的存在无法被理性证明，只能由信念接受。——《人性论》卷一·部四·章二〔意译〕
08-011,我的一切知识都带有「我的」这一归属特征。——《笛卡尔式的沉思》第五沉思〔译〕
08-012,夫元气陶铄，众生禀焉；赋受有多少，故才性有昏明。——《明胆论》
08-013,二有右乎？曰：二无右。二有左乎？曰：二无左。——《公孙龙子·通变论》
08-014,学以变化气质，亦以充实其觉解。——《新原人》 〔意译〕
08-015,水陆草木之花，可爱者甚蕃。晋陶渊明独爱菊；自李唐来，世人甚爱牡丹。——《爱莲说》
08-016,一个人的高贵，在于其行事，而非其出身。——〔译〕《残篇》DK B51（斯托拜乌斯转引）
08-017,上帝不按照目的行事；「目的」是人投射于自然的幻象。——《伦理学》第一部分·命题三十六附释〔意译〕
08-018,法不阿贵，绳不挠曲。——《韩非子·有度》
08-019,历史是不断底变动底，有其理势。——《中国哲学史》 〔意译〕
08-020,自然的壮丽与冷漠并存，一如荒诞本身。——《西西弗神话》〔意译〕
08-021,人是目的，而不仅仅是供他人使用的手段。——《道德形而上学奠基》〔译〕
08-022,我一生都在学习如何不被自己的学科所囚禁。——《知识考古学》〔意译〕
08-023,自然法在败坏的人心里已模糊，需由实定法与恩典补足。——《思想录》L312〔意译〕
08-024,我的记忆说：「我做过这件事。」我的骄傲说：「我不可能做过。」他们互不相让，最终记忆屈服了。——《善恶的彼岸》箴言68
08-025,观念的关系（如数学）与实际的事件，是两类完全不同的知识。——《人性论》卷一·部三·章一〔意译〕
