ID,对象域
12-001,自我
12-002,自我
12-003,自我
12-004,世界
12-005,世界
12-006,他者
12-007,他者
12-008,自我
12-009,自我
12-010,自我
12-011,符号
12-012,他者
12-013,自我
12-014,自我
12-015,自我
12-016,自我
12-017,自我
12-018,自我
12-019,自我
12-020,自我
12-021,他者
12-022,自我
12-023,自我
12-024,符号
12-025,符号
12-026,符号
12-027,他者
12-028,世界
12-029,他者
12-030,自我
12-031,他者
12-032,世界
12-033,世界
12-034,自我
12-035,同一
12-036,世界
12-037,他者
12-038,自我
12-039,他者
12-040,自我
12-041,自我
12-042,他者
12-043,符号
12-044,自我
12-045,世界
12-046,自我
12-047,他者
12-048,自我
12-049,他者
12-050,他者
12-051,世界
12-052,自我
12-053,他者
12-054,自我
12-055,自我
12-056,自我
12-057,世界
12-058,世界
12-059,符号
12-060,他者
12-061,他者
12-062,世界
12-063,自我
12-064,自我
12-065,符号
12-066,他者
12-067,他者
12-068,他者
12-069,符号
12-070,他者
12-071,他者
12-072,符号
12-073,自我
12-074,自我
12-075,他者
12-076,自我
12-077,自我
12-078,同一
12-079,符号
12-080,世界
12-081,自我
12-082,自我
12-083,他者
12-084,符号
12-085,自我
12-086,自我
12-087,他者
12-088,世界
12-089,他者
12-090,自我
12-091,自我
12-092,他者
12-093,自我
12-094,他者
12-095,自我
12-096,世界
12-097,他者
12-098,世界
12-099,自我
12-100,自我
12-101,自我
12-102,符号
12-103,他者
12-104,自我
12-105,自我
12-106,自我
12-107,世界
12-108,符号
12-109,自我
12-110,符号
12-111,符号
12-112,自我
12-113,自我
12-114,世界
12-115,世界
12-116,自我
12-117,自我
12-118,自我
12-119,自我
12-120,自我
12-121,自我
12-122,他者
12-123,符号
12-124,世界
12-125,自我
12-126,自我
12-127,世界
12-128,他者
12-129,符号
12-130,他者
12-131,他者
12-132,自我
12-133,自我
12-134,符号
12-135,自我
12-136,自我
12-137,自我
12-138,他者
12-139,自我
12-140,自我
12-141,世界
12-142,符号
12-143,他者
12-144,自我
12-145,世界
12-146,他者
12-147,自我
12-148,世界
12-149,他者
12-150,世界
12-151,同一
12-152,他者
12-153,自我
12-154,自我
12-155,自我
12-156,世界
12-157,自我
12-158,世界
12-159,符号
12-160,自我
12-161,自我
12-162,自我
12-163,自我
12-164,符号
12-165,自我
12-166,他者
12-167,自我
12-168,他者
12-169,自我
12-170,他者
12-171,世界
12-172,自我
12-173,世界
12-174,自我
12-175,自我
12-176,自我
12-177,自我
12-178,符号
12-179,自我
12-180,他者
12-181,自我
12-182,符号
12-183,自我
12-184,他者
12-185,他者
12-186,符号
12-187,世界
12-188,世界
12-189,自我
12-190,他者
12-191,自我
12-192,自我
12-193,符号
12-194,符号
12-195,自我
12-196,他者
12-197,自我
12-198,符号
12-199,同一
12-200,符号
12-201,他者
12-202,自我
12-203,他者
12-204,他者
12-205,他者
12-206,符号
12-207,符号
12-208,世界
12-209,自我
12-210,自我
12-211,自我
12-212,自我
12-213,自我
12-214,自我
12-215,他者
12-216,他者
12-217,自我
12-218,符号
12-219,符号
12-220,自我
12-221,世界
12-222,世界
12-223,自我
12-224,他者
12-225,自我
12-226,世界
12-227,自我
12-228,自我
12-229,世界
12-230,自我
12-231,自我
12-232,世界
12-233,自我
12-234,自我
12-235,自我
12-236,自我
12-237,符号
12-238,自我
12-239,同一
12-240,他者
12-241,自我
12-242,自我
12-243,自我
12-244,自我
12-245,他者
12-246,自我
12-247,他者
12-248,自我
12-249,自我
12-250,自我
12-251,他者
12-252,他者
12-253,自我
12-254,自我
12-255,自我
12-256,他者
12-257,自我
12-258,世界
12-259,自我
12-260,符号
12-261,符号
12-262,自我
12-263,自我
12-264,世界
12-265,自我
12-266,他者
12-267,自我
12-268,他者
12-269,自我
12-270,自我
12-271,他者
12-272,他者
12-273,自我
12-274,自我
12-275,符号
12-276,世界
12-277,世界
12-278,自我
12-279,他者
12-280,符号
12-281,自我
12-282,自我
12-283,自我
12-284,自我
12-285,自我
12-286,自我
12-287,他者
12-288,自我
12-289,符号
12-290,符号
12-291,自我
12-292,他者
12-293,自我
12-294,自我
12-295,自我
12-296,符号
12-297,他者
12-298,世界
12-299,自我
12-300,自我
