ID,对象域
08-001,自我
08-002,自我
08-003,符号
08-004,他者
08-005,世界
08-006,自我
08-007,自我
08-008,他者
08-009,自我
08-010,符号
08-011,自我
08-012,世界
08-013,符号
08-014,自我
08-015,他者
08-016,自我
08-017,符号
08-018,他者
08-019,世界
08-020,世界
08-021,他者
08-022,自我
08-023,自我
08-024,自我
08-025,符号
08-026,自我
08-027,自我
08-028,世界
08-029,符号
08-030,同一
08-031,自我
08-032,自我
08-033,他者
08-034,自我
08-035,符号
08-036,自我
08-037,符号
08-038,同一
08-039,符号
08-040,他者
08-041,符号
08-042,世界
08-043,自我
08-044,自我
08-045,同一
08-046,同一
08-047,自我
08-048,自我
08-049,他者
08-050,自我
08-051,世界
08-052,自我
08-053,世界
08-054,世界
08-055,自我
08-056,他者
08-057,世界
08-058,他者
08-059,他者
08-060,他者
08-061,自我
08-062,自我
08-063,符号
08-064,自我
08-065,自我
08-066,自我
08-067,符号
08-068,自我
08-069,他者
08-070,自我
08-071,世界
08-072,自我
08-073,自我
08-074,自我
08-075,自我
08-076,自我
08-077,自我
08-078,自我
08-079,自我
08-080,自我
08-081,世界
08-082,同一
08-083,他者
08-084,自我
08-085,自我
08-086,自我
08-087,自我
08-088,自我
08-089,自我
08-090,自我
08-091,自我
08-092,世界
08-093,他者
08-094,世界
08-095,自我
08-096,自我
08-097,他者
08-098,自我
08-099,自我
08-100,符号
08-101,自我
08-102,自我
08-103,世界
08-104,他者
08-105,他者
08-106,符号
08-107,他者
08-108,世界
08-109,他者
08-110,自我
08-111,他者
08-112,同一
08-113,自我
08-114,自我
08-115,他者
08-116,自我
08-117,他者
08-118,自我
08-119,他者
08-120,自我
08-121,世界
08-122,自我
08-123,同一
08-124,自我
08-125,世界
08-126,自我
08-127,自我
08-128,自我
08-129,世界
08-130,符号
08-131,世界
08-132,世界
08-133,自我
08-134,自我
08-135,他者
08-136,自我
08-137,自我
08-138,他者
08-139,他者
08-140,自我
08-141,自我
08-142,自我
08-143,同一
08-144,符号
08-145,自我
08-146,符号
08-147,自我
08-148,自我
08-149,他者
08-150,符号
08-151,同一
08-152,自我
08-153,自我
08-154,他者
08-155,世界
08-156,他者
08-157,他者
08-158,世界
08-159,自我
08-160,他者
08-161,自我
08-162,自我
08-163,世界
08-164,他者
08-165,他者
08-166,同一
08-167,自我
08-168,自我
08-169,符号
08-170,自我
08-171,自我
08-172,世界
08-173,符号
08-174,符号
08-175,世界
08-176,符号
08-177,自我
08-178,他者
08-179,符号
08-180,符号
08-181,符号
08-182,自我
08-183,世界
08-184,世界
08-185,符号
08-186,自我
08-187,世界
08-188,他者
08-189,他者
08-190,他者
08-191,符号
08-192,自我
08-193,他者
08-194,世界
08-195,自我
08-196,他者
08-197,符号
08-198,他者
08-199,自我
08-200,自我
08-201,他者
08-202,自我
08-203,他者
08-204,符号
08-205,他者
08-206,自我
08-207,自我
08-208,他者
08-209,符号
08-210,自我
08-211,自我
08-212,自我
08-213,自我
08-214,自我
08-215,自我
08-216,自我
08-217,自我
08-218,他者
08-219,符号
08-220,自我
08-221,世界
08-222,自我
08-223,自我
08-224,他者
08-225,自我
08-226,他者
08-227,世界
08-228,自我
08-229,符号
08-230,符号
08-231,符号
08-232,他者
08-233,他者
08-234,自我
08-235,自我
08-236,自我
08-237,符号
08-238,自我
08-239,他者
08-240,符号
08-241,自我
08-242,他者
08-243,自我
08-244,符号
08-245,世界
08-246,自我
08-247,自我
08-248,自我
08-249,符号
08-250,符号
08-251,自我
08-252,符号
08-253,自我
08-254,他者
08-255,世界
08-256,自我
08-257,自我
08-258,自我
08-259,世界
08-260,自我
08-261,自我
08-262,符号
08-263,他者
08-264,他者
08-265,同一
08-266,自我
08-267,符号
08-268,自我
08-269,符号
08-270,世界
08-271,世界
08-272,自我
08-273,自我
08-274,他者
08-275,自我
08-276,世界
08-277,符号
08-278,他者
08-279,他者
08-280,他者
08-281,自我
08-282,自我
08-283,他者
08-284,自我
08-285,符号
08-286,他者
08-287,自我
08-288,自我
08-289,世界
08-290,符号
08-291,自我
08-292,自我
08-293,他者
08-294,自我
08-295,他者
08-296,同一
08-297,他者
08-298,他者
08-299,符号
08-300,世界
