ID,对象域
04-001,世界
04-002,自我
04-003,世界
04-004,自我
04-005,世界
04-006,世界
04-007,自我
04-008,自我
04-009,符号
04-010,他者
04-011,自我
04-012,自我
04-013,世界
04-014,自我
04-015,自我
04-016,符号
04-017,自我
04-018,自我
04-019,自我
04-020,符号
04-021,世界
04-022,世界
04-023,符号
04-024,世界
04-025,自我
04-026,他者
04-027,他者
04-028,自我
04-029,自我
04-030,他者
04-031,自我
04-032,自我
04-033,同一
04-034,自我
04-035,自我
04-036,他者
04-037,他者
04-038,符号
04-039,自我
04-040,符号
04-041,自我
04-042,他者
04-043,符号
04-044,自我
04-045,符号
04-046,他者
04-047,自我
04-048,自我
04-049,自我
04-050,他者
04-051,符号
04-052,符号
04-053,自我
04-054,他者
04-055,自我
04-056,自我
04-057,符号
04-058,自我
04-059,自我
04-060,他者
04-061,他者
04-062,自我
04-063,自我
04-064,自我
04-065,自我
04-066,他者
04-067,自我
04-068,他者
04-069,他者
04-070,符号
04-071,他者
04-072,自我
04-073,他者
04-074,符号
04-075,世界
04-076,自我
04-077,自我
04-078,世界
04-079,符号
04-080,世界
04-081,世界
04-082,他者
04-083,符号
04-084,符号
04-085,他者
04-086,自我
04-087,他者
04-088,自我
04-089,自我
04-090,世界
04-091,他者
04-092,自我
04-093,他者
04-094,自我
04-095,自我
04-096,他者
04-097,他者
04-098,自我
04-099,世界
04-100,自我
04-101,世界
04-102,符号
04-103,同一
04-104,符号
04-105,他者
04-106,自我
04-107,符号
04-108,自我
04-109,自我
04-110,世界
04-111,他者
04-112,同一
04-113,自我
04-114,自我
04-115,自我
04-116,世界
04-117,他者
04-118,同一
04-119,符号
04-120,他者
04-121,自我
04-122,自我
04-123,世界
04-124,自我
04-125,自我
04-126,自我
04-127,自我
04-128,自我
04-129,自我
04-130,符号
04-131,自我
04-132,他者
04-133,符号
04-134,自我
04-135,自我
04-136,世界
04-137,同一
04-138,符号
04-139,世界
04-140,同一
04-141,自我
04-142,自我
04-143,自我
04-144,自我
04-145,符号
04-146,自我
04-147,自我
04-148,符号
04-149,自我
04-150,世界
04-151,自我
04-152,自我
04-153,他者
04-154,符号
04-155,自我
04-156,符号
04-157,自我
04-158,同一
04-159,自我
04-160,自我
04-161,自我
04-162,自我
04-163,他者
04-164,他者
04-165,符号
04-166,世界
04-167,自我
04-168,他者
04-169,符号
04-170,他者
04-171,符号
04-172,自我
04-173,同一
04-174,世界
04-175,符号
04-176,自我
04-177,自我
04-178,自我
04-179,符号
04-180,自我
04-181,同一
04-182,自我
04-183,他者
04-184,他者
04-185,他者
04-186,自我
04-187,他者
04-188,自我
04-189,符号
04-190,他者
04-191,符号
04-192,自我
04-193,自我
04-194,同一
04-195,自我
04-196,他者
04-197,自我
04-198,他者
04-199,符号
04-200,世界
04-201,他者
04-202,他者
04-203,他者
04-204,世界
04-205,自我
04-206,同一
04-207,符号
04-208,符号
04-209,符号
04-210,他者
04-211,符号
04-212,自我
04-213,他者
04-214,他者
04-215,自我
04-216,他者
04-217,他者
04-218,自我
04-219,符号
04-220,世界
04-221,符号
04-222,他者
04-223,自我
04-224,世界
04-225,符号
04-226,符号
04-227,自我
04-228,他者
04-229,世界
04-230,自我
04-231,世界
04-232,符号
04-233,世界
04-234,符号
04-235,符号
04-236,自我
04-237,他者
04-238,他者
04-239,他者
04-240,符号
04-241,世界
04-242,他者
04-243,自我
04-244,他者
04-245,符号
04-246,自我
04-247,他者
04-248,自我
04-249,同一
04-250,符号
04-251,符号
04-252,世界
04-253,他者
04-254,世界
04-255,自我
04-256,世界
04-257,世界
04-258,自我
04-259,自我
04-260,自我
04-261,自我
04-262,他者
04-263,自我
04-264,自我
04-265,他者
04-266,他者
04-267,世界
04-268,世界
04-269,自我
04-270,他者
04-271,自我
04-272,世界
04-273,符号
04-274,自我
04-275,自我
04-276,自我
04-277,他者
04-278,自我
04-279,自我
04-280,自我
04-281,自我
04-282,符号
04-283,自我
04-284,自我
04-285,自我
04-286,符号
04-287,世界
04-288,自我
04-289,他者
04-290,符号
04-291,自我
04-292,他者
04-293,自我
04-294,他者
04-295,符号
04-296,他者
04-297,他者
04-298,他者
04-299,自我
04-300,自我
