ID,对象域
05-001,自我
05-002,世界
05-003,世界
05-004,世界
05-005,自我
05-006,他者
05-007,自我
05-008,自我
05-009,自我
05-010,他者
05-011,自我
05-012,自我
05-013,他者
05-014,世界
05-015,符号
05-016,他者
05-017,自我
05-018,他者
05-019,符号
05-020,自我
05-021,他者
05-022,世界
05-023,世界
05-024,符号
05-025,世界
05-026,自我
05-027,自我
05-028,自我
05-029,自我
05-030,他者
05-031,他者
05-032,自我
05-033,世界
05-034,自我
05-035,自我
05-036,符号
05-037,他者
05-038,世界
05-039,世界
05-040,符号
05-041,他者
05-042,自我
05-043,世界
05-044,他者
05-045,自我
05-046,自我
05-047,自我
05-048,自我
05-049,自我
05-050,自我
05-051,自我
05-052,自我
05-053,自我
05-054,世界
05-055,自我
05-056,他者
05-057,自我
05-058,自我
05-059,他者
05-060,世界
05-061,他者
05-062,他者
05-063,自我
05-064,他者
05-065,自我
05-066,他者
05-067,自我
05-068,他者
05-069,同一
05-070,自我
05-071,符号
05-072,符号
05-073,他者
05-074,他者
05-075,符号
05-076,符号
05-077,自我
05-078,同一
05-079,他者
05-080,自我
05-081,世界
05-082,自我
05-083,自我
05-084,他者
05-085,他者
05-086,符号
05-087,自我
05-088,他者
05-089,自我
05-090,世界
05-091,自我
05-092,自我
05-093,自我
05-094,自我
05-095,世界
05-096,自我
05-097,自我
05-098,符号
05-099,自我
05-100,他者
05-101,自我
05-102,自我
05-103,他者
05-104,符号
05-105,自我
05-106,他者
05-107,他者
05-108,世界
05-109,符号
05-110,他者
05-111,自我
05-112,自我
05-113,他者
05-114,他者
05-115,同一
05-116,世界
05-117,他者
05-118,世界
05-119,自我
05-120,他者
05-121,自我
05-122,他者
05-123,他者
05-124,自我
05-125,同一
05-126,自我
05-127,他者
05-128,世界
05-129,世界
05-130,世界
05-131,他者
05-132,他者
05-133,符号
05-134,他者
05-135,自我
05-136,符号
05-137,符号
05-138,他者
05-139,自我
05-140,他者
05-141,自我
05-142,符号
05-143,符号
05-144,符号
05-145,自我
05-146,自我
05-147,他者
05-148,世界
05-149,符号
05-150,他者
05-151,自我
05-152,世界
05-153,自我
05-154,世界
05-155,自我
05-156,自我
05-157,符号
05-158,符号
05-159,自我
05-160,自我
05-161,自我
05-162,他者
05-163,自我
05-164,他者
05-165,自我
05-166,世界
05-167,自我
05-168,自我
05-169,自我
05-170,他者
05-171,自我
05-172,他者
05-173,他者
05-174,他者
05-175,自我
05-176,自我
05-177,他者
05-178,自我
05-179,他者
05-180,世界
05-181,世界
05-182,自我
05-183,他者
05-184,自我
05-185,他者
05-186,世界
05-187,符号
05-188,世界
05-189,世界
05-190,自我
05-191,自我
05-192,自我
05-193,世界
05-194,世界
05-195,自我
05-196,他者
05-197,自我
05-198,符号
05-199,世界
05-200,自我
05-201,世界
05-202,自我
05-203,自我
05-204,自我
05-205,世界
05-206,自我
05-207,他者
05-208,世界
05-209,世界
05-210,他者
05-211,自我
05-212,自我
05-213,世界
05-214,他者
05-215,世界
05-216,自我
05-217,他者
05-218,他者
05-219,世界
05-220,符号
05-221,他者
05-222,自我
05-223,符号
05-224,自我
05-225,同一
05-226,符号
05-227,他者
05-228,自我
05-229,符号
05-230,自我
05-231,世界
05-232,自我
05-233,世界
05-234,符号
05-235,自我
05-236,世界
05-237,自我
05-238,符号
05-239,世界
05-240,符号
05-241,世界
05-242,他者
05-243,符号
05-244,自我
05-245,符号
05-246,他者
05-247,自我
05-248,他者
05-249,自我
05-250,自我
05-251,自我
05-252,自我
05-253,自我
05-254,自我
05-255,他者
05-256,他者
05-257,世界
05-258,自我
05-259,他者
05-260,他者
05-261,自我
05-262,同一
05-263,世界
05-264,自我
05-265,他者
05-266,自我
05-267,世界
05-268,自我
05-269,他者
05-270,他者
05-271,符号
05-272,同一
05-273,自我
05-274,自我
05-275,符号
05-276,符号
05-277,世界
05-278,自我
05-279,自我
05-280,世界
05-281,自我
05-282,他者
05-283,世界
05-284,他者
05-285,世界
05-286,世界
05-287,符号
05-288,自我
05-289,同一
05-290,世界
05-291,符号
05-292,自我
05-293,符号
05-294,自我
05-295,他者
05-296,自我
05-297,他者
05-298,自我
05-299,世界
05-300,他者
