ID,对象域
02-001,自我
02-002,自我
02-003,他者
02-004,同一
02-005,自我
02-006,自我
02-007,自我
02-008,他者
02-009,世界
02-010,符号
02-011,他者
02-012,自我
02-013,他者
02-014,他者
02-015,自我
02-016,世界
02-017,世界
02-018,他者
02-019,自我
02-020,自我
02-021,他者
02-022,他者
02-023,自我
02-024,自我
02-025,他者
02-026,自我
02-027,符号
02-028,自我
02-029,符号
02-030,自我
02-031,自我
02-032,自我
02-033,自我
02-034,自我
02-035,自我
02-036,自我
02-037,自我
02-038,符号
02-039,世界
02-040,符号
02-041,符号
02-042,自我
02-043,符号
02-044,自我
02-045,他者
02-046,他者
02-047,自我
02-048,他者
02-049,他者
02-050,自我
02-051,自我
02-052,自我
02-053,自我
02-054,世界
02-055,他者
02-056,自我
02-057,自我
02-058,他者
02-059,他者
02-060,符号
02-061,自我
02-062,世界
02-063,自我
02-064,自我
02-065,他者
02-066,自我
02-067,自我
02-068,符号
02-069,自我
02-070,符号
02-071,他者
02-072,自我
02-073,自我
02-074,世界
02-075,自我
02-076,自我
02-077,自我
02-078,符号
02-079,自我
02-080,自我
02-081,世界
02-082,自我
02-083,符号
02-084,他者
02-085,他者
02-086,符号
02-087,他者
02-088,自我
02-089,自我
02-090,自我
02-091,符号
02-092,自我
02-093,他者
02-094,自我
02-095,世界
02-096,符号
02-097,自我
02-098,符号
02-099,符号
02-100,世界
02-101,他者
02-102,自我
02-103,自我
02-104,自我
02-105,符号
02-106,符号
02-107,他者
02-108,符号
02-109,他者
02-110,自我
02-111,自我
02-112,世界
02-113,自我
02-114,自我
02-115,自我
02-116,他者
02-117,自我
02-118,他者
02-119,世界
02-120,世界
02-121,自我
02-122,世界
02-123,自我
02-124,自我
02-125,自我
02-126,自我
02-127,自我
02-128,符号
02-129,自我
02-130,自我
02-131,自我
02-132,同一
02-133,世界
02-134,他者
02-135,符号
02-136,世界
02-137,世界
02-138,自我
02-139,自我
02-140,世界
02-141,自我
02-142,自我
02-143,自我
02-144,自我
02-145,符号
02-146,符号
02-147,自我
02-148,自我
02-149,自我
02-150,符号
02-151,自我
02-152,符号
02-153,他者
02-154,自我
02-155,他者
02-156,自我
02-157,他者
02-158,自我
02-159,自我
02-160,自我
02-161,自我
02-162,世界
02-163,自我
02-164,自我
02-165,他者
02-166,他者
02-167,他者
02-168,符号
02-169,世界
02-170,自我
02-171,自我
02-172,他者
02-173,他者
02-174,世界
02-175,自我
02-176,符号
02-177,符号
02-178,自我
02-179,世界
02-180,同一
02-181,自我
02-182,自我
02-183,自我
02-184,他者
02-185,他者
02-186,世界
02-187,世界
02-188,自我
02-189,自我
02-190,符号
02-191,符号
02-192,自我
02-193,世界
02-194,自我
02-195,自我
02-196,同一
02-197,自我
02-198,自我
02-199,符号
02-200,自我
02-201,世界
02-202,自我
02-203,世界
02-204,自我
02-205,自我
02-206,世界
02-207,自我
02-208,符号
02-209,世界
02-210,自我
02-211,自我
02-212,自我
02-213,他者
02-214,自我
02-215,世界
02-216,自我
02-217,世界
02-218,自我
02-219,自我
02-220,自我
02-221,自我
02-222,他者
02-223,自我
02-224,符号
02-225,他者
02-226,自我
02-227,他者
02-228,世界
02-229,自我
02-230,自我
02-231,他者
02-232,他者
02-233,他者
02-234,自我
02-235,符号
02-236,符号
02-237,自我
02-238,自我
02-239,他者
02-240,符号
02-241,自我
02-242,自我
02-243,自我
02-244,自我
02-245,世界
02-246,他者
02-247,他者
02-248,自我
02-249,他者
02-250,自我
02-251,他者
02-252,世界
02-253,自我
02-254,自我
02-255,自我
02-256,世界
02-257,自我
02-258,自我
02-259,自我
02-260,他者
02-261,世界
02-262,他者
02-263,他者
02-264,自我
02-265,他者
02-266,自我
02-267,自我
02-268,他者
02-269,世界
02-270,符号
02-271,符号
02-272,自我
02-273,自我
02-274,他者
02-275,世界
02-276,自我
02-277,同一
02-278,世界
02-279,符号
02-280,自我
02-281,他者
02-282,他者
02-283,他者
02-284,自我
02-285,他者
02-286,世界
02-287,自我
02-288,自我
02-289,他者
02-290,自我
02-291,他者
02-292,自我
02-293,自我
02-294,自我
02-295,符号
02-296,自我
02-297,自我
02-298,自我
02-299,符号
02-300,自我
