ID,对象域
09-001,世界
09-002,世界
09-003,自我
09-004,自我
09-005,世界
09-006,世界
09-007,世界
09-008,自我
09-009,自我
09-010,符号
09-011,他者
09-012,自我
09-013,自我
09-014,他者
09-015,自我
09-016,自我
09-017,自我
09-018,自我
09-019,符号
09-020,自我
09-021,自我
09-022,自我
09-023,自我
09-024,自我
09-025,自我
09-026,自我
09-027,自我
09-028,他者
09-029,世界
09-030,自我
09-031,世界
09-032,他者
09-033,符号
09-034,世界
09-035,自我
09-036,世界
09-037,他者
09-038,世界
09-039,他者
09-040,自我
09-041,自我
09-042,符号
09-043,自我
09-044,自我
09-045,自我
09-046,自我
09-047,自我
09-048,他者
09-049,世界
09-050,世界
09-051,符号
09-052,自我
09-053,自我
09-054,世界
09-055,同一
09-056,符号
09-057,自我
09-058,自我
09-059,自我
09-060,同一
09-061,自我
09-062,他者
09-063,自我
09-064,自我
09-065,自我
09-066,他者
09-067,符号
09-068,世界
09-069,自我
09-070,符号
09-071,符号
09-072,自我
09-073,他者
09-074,符号
09-075,他者
09-076,他者
09-077,自我
09-078,他者
09-079,他者
09-080,自我
09-081,自我
09-082,他者
09-083,符号
09-084,他者
09-085,世界
09-086,自我
09-087,世界
09-088,自我
09-089,他者
09-090,自我
09-091,世界
09-092,自我
09-093,自我
09-094,世界
09-095,自我
09-096,符号
09-097,自我
09-098,符号
09-099,自我
09-100,自我
09-101,自我
09-102,自我
09-103,符号
09-104,世界
09-105,他者
09-106,自我
09-107,他者
09-108,世界
09-109,他者
09-110,自我
09-111,自我
09-112,自我
09-113,自我
09-114,符号
09-115,世界
09-116,他者
09-117,符号
09-118,符号
09-119,自我
09-120,符号
09-121,他者
09-122,他者
09-123,自我
09-124,世界
09-125,世界
09-126,自我
09-127,同一
09-128,自我
09-129,符号
09-130,符号
09-131,符号
09-132,世界
09-133,自我
09-134,符号
09-135,自我
09-136,世界
09-137,符号
09-138,自我
09-139,世界
09-140,自我
09-141,符号
09-142,符号
09-143,自我
09-144,他者
09-145,世界
09-146,符号
09-147,他者
09-148,符号
09-149,自我
09-150,他者
09-151,自我
09-152,他者
09-153,自我
09-154,自我
09-155,自我
09-156,世界
09-157,他者
09-158,自我
09-159,他者
09-160,世界
09-161,他者
09-162,自我
09-163,世界
09-164,自我
09-165,符号
09-166,自我
09-167,自我
09-168,自我
09-169,他者
09-170,符号
09-171,世界
09-172,自我
09-173,自我
09-174,自我
09-175,自我
09-176,自我
09-177,世界
09-178,符号
09-179,他者
09-180,世界
09-181,自我
09-182,世界
09-183,符号
09-184,符号
09-185,自我
09-186,自我
09-187,符号
09-188,符号
09-189,世界
09-190,自我
09-191,符号
09-192,自我
09-193,符号
09-194,自我
09-195,他者
09-196,世界
09-197,世界
09-198,自我
09-199,他者
09-200,符号
09-201,他者
09-202,世界
09-203,自我
09-204,世界
09-205,符号
09-206,符号
09-207,符号
09-208,自我
09-209,同一
09-210,符号
09-211,符号
09-212,符号
09-213,他者
09-214,符号
09-215,符号
09-216,自我
09-217,符号
09-218,自我
09-219,自我
09-220,他者
09-221,自我
09-222,自我
09-223,自我
09-224,符号
09-225,自我
09-226,自我
09-227,自我
09-228,符号
09-229,世界
09-230,自我
09-231,自我
09-232,世界
09-233,他者
09-234,他者
09-235,自我
09-236,自我
09-237,他者
09-238,他者
09-239,他者
09-240,他者
09-241,自我
09-242,世界
09-243,自我
09-244,自我
09-245,自我
09-246,世界
09-247,自我
09-248,他者
09-249,自我
09-250,自我
09-251,符号
09-252,符号
09-253,自我
09-254,他者
09-255,自我
09-256,自我
09-257,符号
09-258,符号
09-259,自我
09-260,自我
09-261,世界
09-262,他者
09-263,符号
09-264,自我
09-265,自我
09-266,世界
09-267,自我
09-268,自我
09-269,自我
09-270,自我
09-271,自我
09-272,同一
09-273,他者
09-274,符号
09-275,自我
09-276,自我
09-277,自我
09-278,自我
09-279,他者
09-280,符号
09-281,自我
09-282,自我
09-283,他者
09-284,自我
09-285,符号
09-286,自我
09-287,同一
09-288,他者
09-289,他者
09-290,自我
09-291,他者
09-292,自我
09-293,符号
09-294,自我
09-295,世界
09-296,他者
09-297,符号
09-298,同一
09-299,自我
09-300,自我
