ID,对象域
07-001,自我
07-002,他者
07-003,自我
07-004,他者
07-005,符号
07-006,自我
07-007,自我
07-008,符号
07-009,自我
07-010,他者
07-011,他者
07-012,世界
07-013,自我
07-014,他者
07-015,自我
07-016,自我
07-017,他者
07-018,自我
07-019,自我
07-020,他者
07-021,世界
07-022,他者
07-023,自我
07-024,自我
07-025,他者
07-026,世界
07-027,自我
07-028,自我
07-029,自我
07-030,他者
07-031,自我
07-032,自我
07-033,自我
07-034,世界
07-035,自我
07-036,自我
07-037,自我
07-038,自我
07-039,自我
07-040,自我
07-041,自我
07-042,自我
07-043,符号
07-044,自我
07-045,世界
07-046,自我
07-047,自我
07-048,自我
07-049,自我
07-050,他者
07-051,自我
07-052,自我
07-053,自我
07-054,自我
07-055,自我
07-056,他者
07-057,同一
07-058,他者
07-059,自我
07-060,自我
07-061,符号
07-062,自我
07-063,他者
07-064,世界
07-065,同一
07-066,世界
07-067,自我
07-068,自我
07-069,世界
07-070,自我
07-071,自我
07-072,自我
07-073,符号
07-074,自我
07-075,符号
07-076,符号
07-077,他者
07-078,自我
07-079,自我
07-080,同一
07-081,世界
07-082,自我
07-083,自我
07-084,自我
07-085,自我
07-086,符号
07-087,自我
07-088,他者
07-089,自我
07-090,自我
07-091,世界
07-092,自我
07-093,自我
07-094,自我
07-095,同一
07-096,自我
07-097,自我
07-098,自我
07-099,自我
07-100,符号
07-101,他者
07-102,自我
07-103,自我
07-104,自我
07-105,他者
07-106,自我
07-107,他者
07-108,自我
07-109,自我
07-110,自我
07-111,同一
07-112,符号
07-113,符号
07-114,自我
07-115,自我
07-116,同一
07-117,世界
07-118,他者
07-119,自我
07-120,他者
07-121,自我
07-122,符号
07-123,自我
07-124,同一
07-125,世界
07-126,符号
07-127,自我
07-128,他者
07-129,世界
07-130,自我
07-131,他者
07-132,他者
07-133,自我
07-134,同一
07-135,自我
07-136,他者
07-137,自我
07-138,世界
07-139,自我
07-140,自我
07-141,自我
07-142,世界
07-143,世界
07-144,同一
07-145,他者
07-146,他者
07-147,世界
07-148,他者
07-149,自我
07-150,自我
07-151,自我
07-152,他者
07-153,自我
07-154,符号
07-155,自我
07-156,自我
07-157,符号
07-158,他者
07-159,自我
07-160,自我
07-161,他者
07-162,他者
07-163,世界
07-164,自我
07-165,同一
07-166,他者
07-167,同一
07-168,符号
07-169,世界
07-170,他者
07-171,世界
07-172,自我
07-173,自我
07-174,自我
07-175,他者
07-176,符号
07-177,他者
07-178,他者
07-179,自我
07-180,同一
07-181,世界
07-182,他者
07-183,世界
07-184,同一
07-185,自我
07-186,符号
07-187,自我
07-188,自我
07-189,自我
07-190,世界
07-191,世界
07-192,自我
07-193,符号
07-194,自我
07-195,他者
07-196,他者
07-197,符号
07-198,符号
07-199,自我
07-200,他者
07-201,同一
07-202,符号
07-203,符号
07-204,他者
07-205,他者
07-206,他者
07-207,自我
07-208,世界
07-209,符号
07-210,?
07-211,世界
07-212,他者
07-213,自我
07-214,符号
07-215,自我
07-216,自我
07-217,同一
07-218,自我
07-219,自我
07-220,符号
07-221,自我
07-222,自我
07-223,自我
07-224,自我
07-225,世界
07-226,自我
07-227,世界
07-228,自我
07-229,自我
07-230,他者
07-231,自我
07-232,自我
07-233,他者
07-234,符号
07-235,世界
07-236,同一
07-237,他者
07-238,自我
07-239,符号
07-240,符号
07-241,他者
07-242,他者
07-243,自我
07-244,符号
07-245,他者
07-246,自我
07-247,自我
07-248,世界
07-249,世界
07-250,同一
07-251,自我
07-252,自我
07-253,自我
07-254,自我
07-255,自我
07-256,自我
07-257,自我
07-258,符号
07-259,自我
07-260,世界
07-261,世界
07-262,世界
07-263,世界
07-264,符号
07-265,同一
07-266,同一
07-267,自我
07-268,世界
07-269,自我
07-270,符号
07-271,自我
07-272,自我
07-273,自我
07-274,自我
07-275,自我
07-276,他者
07-277,自我
07-278,世界
07-279,符号
07-280,自我
07-281,符号
07-282,自我
07-283,自我
07-284,他者
07-285,同一
07-286,自我
07-287,他者
07-288,自我
07-289,他者
07-290,他者
07-291,他者
07-292,符号
07-293,世界
07-294,他者
07-295,他者
07-296,他者
07-297,符号
07-298,自我
07-299,自我
07-300,他者
