ID,对象域
10-001,自我
10-002,他者
10-003,世界
10-004,自我
10-005,他者
10-006,自我
10-007,他者
10-008,自我
10-009,符号
10-010,世界
10-011,世界
10-012,自我
10-013,他者
10-014,自我
10-015,他者
10-016,自我
10-017,自我
10-018,他者
10-019,他者
10-020,自我
10-021,自我
10-022,世界
10-023,自我
10-024,自我
10-025,自我
10-026,自我
10-027,符号
10-028,自我
10-029,世界
10-030,他者
10-031,自我
10-032,符号
10-033,符号
10-034,世界
10-035,自我
10-036,符号
10-037,自我
10-038,自我
10-039,世界
10-040,世界
10-041,符号
10-042,世界
10-043,自我
10-044,自我
10-045,世界
10-046,他者
10-047,自我
10-048,自我
10-049,自我
10-050,符号
10-051,自我
10-052,自我
10-053,世界
10-054,符号
10-055,他者
10-056,他者
10-057,符号
10-058,世界
10-059,自我
10-060,自我
10-061,自我
10-062,自我
10-063,自我
10-064,自我
10-065,世界
10-066,自我
10-067,自我
10-068,符号
10-069,符号
10-070,他者
10-071,符号
10-072,自我
10-073,自我
10-074,自我
10-075,自我
10-076,世界
10-077,符号
10-078,自我
10-079,自我
10-080,符号
10-081,世界
10-082,自我
10-083,自我
10-084,世界
10-085,自我
10-086,他者
10-087,符号
10-088,他者
10-089,他者
10-090,符号
10-091,自我
10-092,符号
10-093,他者
10-094,自我
10-095,他者
10-096,自我
10-097,世界
10-098,自我
10-099,自我
10-100,自我
10-101,他者
10-102,自我
10-103,他者
10-104,他者
10-105,自我
10-106,自我
10-107,他者
10-108,自我
10-109,自我
10-110,自我
10-111,符号
10-112,符号
10-113,自我
10-114,自我
10-115,他者
10-116,世界
10-117,他者
10-118,自我
10-119,自我
10-120,符号
10-121,世界
10-122,世界
10-123,自我
10-124,自我
10-125,自我
10-126,符号
10-127,他者
10-128,自我
10-129,自我
10-130,自我
10-131,自我
10-132,自我
10-133,符号
10-134,世界
10-135,他者
10-136,世界
10-137,他者
10-138,自我
10-139,自我
10-140,自我
10-141,他者
10-142,自我
10-143,符号
10-144,自我
10-145,世界
10-146,自我
10-147,符号
10-148,自我
10-149,自我
10-150,自我
10-151,自我
10-152,世界
10-153,自我
10-154,符号
10-155,自我
10-156,他者
10-157,符号
10-158,符号
10-159,他者
10-160,他者
10-161,自我
10-162,世界
10-163,自我
10-164,自我
10-165,他者
10-166,自我
10-167,他者
10-168,世界
10-169,自我
10-170,符号
10-171,符号
10-172,自我
10-173,自我
10-174,他者
10-175,世界
10-176,他者
10-177,符号
10-178,自我
10-179,自我
10-180,自我
10-181,符号
10-182,自我
10-183,他者
10-184,自我
10-185,自我
10-186,自我
10-187,自我
10-188,他者
10-189,自我
10-190,自我
10-191,世界
10-192,符号
10-193,世界
10-194,自我
10-195,自我
10-196,自我
10-197,自我
10-198,自我
10-199,他者
10-200,符号
10-201,他者
10-202,他者
10-203,自我
10-204,世界
10-205,符号
10-206,他者
10-207,他者
10-208,世界
10-209,自我
10-210,自我
10-211,自我
10-212,他者
10-213,自我
10-214,自我
10-215,符号
10-216,自我
10-217,他者
10-218,世界
10-219,自我
10-220,他者
10-221,世界
10-222,自我
10-223,自我
10-224,自我
10-225,自我
10-226,世界
10-227,他者
10-228,自我
10-229,他者
10-230,符号
10-231,自我
10-232,自我
10-233,他者
10-234,自我
10-235,他者
10-236,他者
10-237,他者
10-238,世界
10-239,他者
10-240,自我
10-241,自我
10-242,自我
10-243,自我
10-244,符号
10-245,符号
10-246,自我
10-247,同一
10-248,世界
10-249,他者
10-250,自我
10-251,自我
10-252,他者
10-253,自我
10-254,自我
10-255,自我
10-256,世界
10-257,自我
10-258,自我
10-259,自我
10-260,自我
10-261,自我
10-262,自我
10-263,同一
10-264,自我
10-265,他者
10-266,自我
10-267,自我
10-268,自我
10-269,自我
10-270,自我
10-271,自我
10-272,自我
10-273,自我
10-274,自我
10-275,他者
10-276,世界
10-277,自我
10-278,他者
10-279,自我
10-280,自我
10-281,符号
10-282,自我
10-283,他者
10-284,自我
10-285,自我
10-286,自我
10-287,同一
10-288,同一
10-289,符号
10-290,世界
10-291,自我
10-292,自我
10-293,自我
10-294,自我
10-295,自我
10-296,他者
10-297,世界
10-298,他者
10-299,世界
10-300,自我
