ID,对象域
01-001,他者
01-002,自我
01-003,符号
01-004,他者
01-005,符号
01-006,自我
01-007,世界
01-008,他者
01-009,符号
01-010,自我
01-011,他者
01-012,自我
01-013,自我
01-014,自我
01-015,自我
01-016,他者
01-017,符号
01-018,自我
01-019,自我
01-020,自我
01-021,自我
01-022,自我
01-023,他者
01-024,符号
01-025,符号
01-026,自我
01-027,同一
01-028,自我
01-029,他者
01-030,世界
01-031,自我
01-032,世界
01-033,他者
01-034,符号
01-035,世界
01-036,自我
01-037,世界
01-038,自我
01-039,符号
01-040,自我
01-041,自我
01-042,他者
01-043,自我
01-044,自我
01-045,自我
01-046,他者
01-047,自我
01-048,他者
01-049,自我
01-050,自我
01-051,自我
01-052,世界
01-053,世界
01-054,自我
01-055,自我
01-056,他者
01-057,自我
01-058,世界
01-059,自我
01-060,自我
01-061,符号
01-062,世界
01-063,他者
01-064,符号
01-065,自我
01-066,符号
01-067,符号
01-068,他者
01-069,自我
01-070,世界
01-071,自我
01-072,世界
01-073,符号
01-074,自我
01-075,自我
01-076,自我
01-077,自我
01-078,他者
01-079,他者
01-080,他者
01-081,自我
01-082,世界
01-083,同一
01-084,他者
01-085,自我
01-086,符号
01-087,他者
01-088,同一
01-089,自我
01-090,世界
01-091,符号
01-092,自我
01-093,同一
01-094,世界
01-095,自我
01-096,自我
01-097,自我
01-098,世界
01-099,世界
01-100,自我
01-101,符号
01-102,自我
01-103,他者
01-104,符号
01-105,自我
01-106,自我
01-107,世界
01-108,自我
01-109,自我
01-110,自我
01-111,他者
01-112,自我
01-113,世界
01-114,自我
01-115,他者
01-116,世界
01-117,自我
01-118,自我
01-119,他者
01-120,他者
01-121,世界
01-122,他者
01-123,自我
01-124,自我
01-125,符号
01-126,自我
01-127,自我
01-128,自我
01-129,他者
01-130,自我
01-131,符号
01-132,同一
01-133,自我
01-134,符号
01-135,世界
01-136,自我
01-137,他者
01-138,自我
01-139,符号
01-140,世界
01-141,他者
01-142,自我
01-143,世界
01-144,自我
01-145,自我
01-146,他者
01-147,自我
01-148,他者
01-149,自我
01-150,符号
01-151,他者
01-152,世界
01-153,他者
01-154,他者
01-155,自我
01-156,他者
01-157,自我
01-158,自我
01-159,符号
01-160,他者
01-161,自我
01-162,世界
01-163,世界
01-164,自我
01-165,他者
01-166,符号
01-167,自我
01-168,自我
01-169,自我
01-170,他者
01-171,他者
01-172,世界
01-173,世界
01-174,世界
01-175,自我
01-176,自我
01-177,世界
01-178,自我
01-179,自我
01-180,他者
01-181,他者
01-182,自我
01-183,他者
01-184,自我
01-185,符号
01-186,符号
01-187,符号
01-188,他者
01-189,自我
01-190,自我
01-191,自我
01-192,自我
01-193,自我
01-194,符号
01-195,自我
01-196,符号
01-197,符号
01-198,他者
01-199,自我
01-200,世界
01-201,世界
01-202,符号
01-203,自我
01-204,自我
01-205,自我
01-206,他者
01-207,他者
01-208,他者
01-209,他者
01-210,符号
01-211,自我
01-212,自我
01-213,自我
01-214,符号
01-215,自我
01-216,自我
01-217,符号
01-218,他者
01-219,自我
01-220,自我
01-221,自我
01-222,自我
01-223,他者
01-224,自我
01-225,他者
01-226,自我
01-227,自我
01-228,自我
01-229,自我
01-230,他者
01-231,自我
01-232,他者
01-233,他者
01-234,自我
01-235,世界
01-236,他者
01-237,符号
01-238,自我
01-239,他者
01-240,他者
01-241,自我
01-242,他者
01-243,自我
01-244,他者
01-245,自我
01-246,他者
01-247,他者
01-248,自我
01-249,世界
01-250,自我
01-251,他者
01-252,他者
01-253,他者
01-254,自我
01-255,自我
01-256,自我
01-257,自我
01-258,自我
01-259,自我
01-260,他者
01-261,自我
01-262,自我
01-263,他者
01-264,自我
01-265,世界
01-266,自我
01-267,自我
01-268,他者
01-269,世界
01-270,他者
01-271,自我
01-272,符号
01-273,同一
01-274,他者
01-275,世界
01-276,自我
01-277,他者
01-278,自我
01-279,同一
01-280,同一
01-281,符号
01-282,他者
01-283,符号
01-284,世界
01-285,自我
01-286,他者
01-287,同一
01-288,他者
01-289,符号
01-290,符号
01-291,世界
01-292,符号
01-293,自我
01-294,他者
01-295,世界
01-296,他者
01-297,自我
01-298,世界
01-299,自我
01-300,自我
