ID,对象域
06-001,世界
06-002,他者
06-003,他者
06-004,自我
06-005,自我
06-006,自我
06-007,世界
06-008,符号
06-009,世界
06-010,他者
06-011,自我
06-012,他者
06-013,自我
06-014,符号
06-015,自我
06-016,自我
06-017,自我
06-018,世界
06-019,自我
06-020,符号
06-021,他者
06-022,他者
06-023,他者
06-024,世界
06-025,符号
06-026,他者
06-027,自我
06-028,自我
06-029,自我
06-030,自我
06-031,自我
06-032,他者
06-033,他者
06-034,他者
06-035,自我
06-036,符号
06-037,世界
06-038,自我
06-039,世界
06-040,自我
06-041,自我
06-042,世界
06-043,他者
06-044,同一
06-045,自我
06-046,自我
06-047,自我
06-048,他者
06-049,世界
06-050,世界
06-051,符号
06-052,他者
06-053,他者
06-054,同一
06-055,他者
06-056,自我
06-057,符号
06-058,他者
06-059,自我
06-060,自我
06-061,他者
06-062,他者
06-063,自我
06-064,世界
06-065,他者
06-066,自我
06-067,自我
06-068,他者
06-069,自我
06-070,自我
06-071,自我
06-072,他者
06-073,他者
06-074,自我
06-075,符号
06-076,自我
06-077,他者
06-078,世界
06-079,自我
06-080,他者
06-081,他者
06-082,自我
06-083,自我
06-084,自我
06-085,符号
06-086,自我
06-087,他者
06-088,自我
06-089,自我
06-090,符号
06-091,符号
06-092,自我
06-093,他者
06-094,自我
06-095,自我
06-096,自我
06-097,自我
06-098,自我
06-099,符号
06-100,自我
06-101,世界
06-102,自我
06-103,世界
06-104,他者
06-105,同一
06-106,世界
06-107,同一
06-108,自我
06-109,世界
06-110,自我
06-111,符号
06-112,自我
06-113,他者
06-114,符号
06-115,符号
06-116,世界
06-117,符号
06-118,世界
06-119,符号
06-120,他者
06-121,自我
06-122,世界
06-123,自我
06-124,他者
06-125,自我
06-126,符号
06-127,世界
06-128,他者
06-129,自我
06-130,自我
06-131,符号
06-132,自我
06-133,自我
06-134,他者
06-135,自我
06-136,世界
06-137,自我
06-138,自我
06-139,他者
06-140,他者
06-141,符号
06-142,自我
06-143,他者
06-144,自我
06-145,符号
06-146,自我
06-147,自我
06-148,他者
06-149,自我
06-150,符号
06-151,自我
06-152,自我
06-153,他者
06-154,自我
06-155,符号
06-156,他者
06-157,自我
06-158,世界
06-159,自我
06-160,自我
06-161,自我
06-162,自我
06-163,符号
06-164,自我
06-165,他者
06-166,自我
06-167,自我
06-168,他者
06-169,符号
06-170,自我
06-171,同一
06-172,自我
06-173,自我
06-174,自我
06-175,他者
06-176,符号
06-177,他者
06-178,自我
06-179,他者
06-180,自我
06-181,自我
06-182,自我
06-183,自我
06-184,同一
06-185,自我
06-186,他者
06-187,自我
06-188,符号
06-189,他者
06-190,同一
06-191,世界
06-192,他者
06-193,自我
06-194,他者
06-195,他者
06-196,同一
06-197,世界
06-198,他者
06-199,他者
06-200,同一
06-201,自我
06-202,符号
06-203,世界
06-204,同一
06-205,自我
06-206,世界
06-207,符号
06-208,符号
06-209,他者
06-210,世界
06-211,自我
06-212,自我
06-213,他者
06-214,自我
06-215,自我
06-216,他者
06-217,他者
06-218,他者
06-219,自我
06-220,符号
06-221,自我
06-222,自我
06-223,世界
06-224,自我
06-225,同一
06-226,符号
06-227,他者
06-228,符号
06-229,自我
06-230,自我
06-231,自我
06-232,自我
06-233,他者
06-234,自我
06-235,他者
06-236,自我
06-237,他者
06-238,同一
06-239,自我
06-240,符号
06-241,符号
06-242,自我
06-243,他者
06-244,自我
06-245,世界
06-246,自我
06-247,世界
06-248,自我
06-249,自我
06-250,自我
06-251,自我
06-252,自我
06-253,自我
06-254,自我
06-255,符号
06-256,自我
06-257,自我
06-258,自我
06-259,符号
06-260,自我
06-261,同一
06-262,符号
06-263,符号
06-264,自我
06-265,他者
06-266,世界
06-267,世界
06-268,他者
06-269,世界
06-270,同一
06-271,符号
06-272,自我
06-273,符号
06-274,世界
06-275,同一
06-276,他者
06-277,世界
06-278,自我
06-279,他者
06-280,他者
06-281,自我
06-282,自我
06-283,自我
06-284,自我
06-285,世界
06-286,自我
06-287,符号
06-288,同一
06-289,符号
06-290,自我
06-291,自我
06-292,他者
06-293,同一
06-294,世界
06-295,他者
06-296,符号
06-297,世界
06-298,自我
06-299,他者
06-300,符号
