ID,对象域
11-001,自我
11-002,自我
11-003,符号
11-004,自我
11-005,自我
11-006,自我
11-007,他者
11-008,符号
11-009,符号
11-010,自我
11-011,他者
11-012,自我
11-013,自我
11-014,他者
11-015,自我
11-016,自我
11-017,自我
11-018,他者
11-019,自我
11-020,同一
11-021,自我
11-022,符号
11-023,他者
11-024,自我
11-025,他者
11-026,自我
11-027,自我
11-028,符号
11-029,世界
11-030,世界
11-031,他者
11-032,自我
11-033,自我
11-034,世界
11-035,自我
11-036,自我
11-037,世界
11-038,符号
11-039,世界
11-040,自我
11-041,他者
11-042,自我
11-043,符号
11-044,自我
11-045,他者
11-046,符号
11-047,世界
11-048,符号
11-049,符号
11-050,他者
11-051,自我
11-052,符号
11-053,他者
11-054,世界
11-055,他者
11-056,自我
11-057,自我
11-058,世界
11-059,自我
11-060,世界
11-061,自我
11-062,符号
11-063,他者
11-064,他者
11-065,自我
11-066,自我
11-067,他者
11-068,符号
11-069,自我
11-070,世界
11-071,自我
11-072,自我
11-073,自我
11-074,自我
11-075,他者
11-076,自我
11-077,自我
11-078,自我
11-079,他者
11-080,自我
11-081,自我
11-082,自我
11-083,自我
11-084,符号
11-085,符号
11-086,自我
11-087,自我
11-088,世界
11-089,自我
11-090,他者
11-091,世界
11-092,他者
11-093,自我
11-094,自我
11-095,自我
11-096,自我
11-097,自我
11-098,符号
11-099,世界
11-100,自我
11-101,自我
11-102,他者
11-103,自我
11-104,世界
11-105,他者
11-106,自我
11-107,他者
11-108,符号
11-109,自我
11-110,他者
11-111,自我
11-112,他者
11-113,符号
11-114,自我
11-115,自我
11-116,他者
11-117,自我
11-118,符号
11-119,自我
11-120,自我
11-121,自我
11-122,世界
11-123,自我
11-124,他者
11-125,符号
11-126,自我
11-127,他者
11-128,符号
11-129,同一
11-130,符号
11-131,自我
11-132,自我
11-133,符号
11-134,他者
11-135,自我
11-136,他者
11-137,世界
11-138,他者
11-139,符号
11-140,世界
11-141,符号
11-142,自我
11-143,同一
11-144,自我
11-145,自我
11-146,同一
11-147,自我
11-148,他者
11-149,同一
11-150,自我
11-151,自我
11-152,世界
11-153,自我
11-154,符号
11-155,自我
11-156,自我
11-157,自我
11-158,符号
11-159,自我
11-160,自我
11-161,自我
11-162,符号
11-163,世界
11-164,自我
11-165,自我
11-166,自我
11-167,自我
11-168,自我
11-169,世界
11-170,自我
11-171,自我
11-172,他者
11-173,符号
11-174,他者
11-175,自我
11-176,自我
11-177,自我
11-178,符号
11-179,自我
11-180,自我
11-181,自我
11-182,自我
11-183,他者
11-184,他者
11-185,自我
11-186,符号
11-187,自我
11-188,自我
11-189,符号
11-190,自我
11-191,世界
11-192,他者
11-193,自我
11-194,他者
11-195,自我
11-196,自我
11-197,自我
11-198,自我
11-199,自我
11-200,自我
11-201,自我
11-202,符号
11-203,自我
11-204,符号
11-205,世界
11-206,自我
11-207,自我
11-208,自我
11-209,自我
11-210,他者
11-211,他者
11-212,他者
11-213,自我
11-214,自我
11-215,自我
11-216,他者
11-217,自我
11-218,他者
11-219,自我
11-220,自我
11-221,他者
11-222,自我
11-223,自我
11-224,世界
11-225,他者
11-226,他者
11-227,自我
11-228,他者
11-229,自我
11-230,符号
11-231,符号
11-232,符号
11-233,他者
11-234,自我
11-235,世界
11-236,自我
11-237,自我
11-238,自我
11-239,自我
11-240,自我
11-241,世界
11-242,自我
11-243,自我
11-244,符号
11-245,自我
11-246,自我
11-247,自我
11-248,他者
11-249,自我
11-250,他者
11-251,自我
11-252,他者
11-253,自我
11-254,他者
11-255,他者
11-256,他者
11-257,自我
11-258,自我
11-259,世界
11-260,自我
11-261,他者
11-262,他者
11-263,他者
11-264,符号
11-265,自我
11-266,他者
11-267,符号
11-268,同一
11-269,他者
11-270,世界
11-271,他者
11-272,世界
11-273,世界
11-274,他者
11-275,他者
11-276,自我
11-277,他者
11-278,同一
11-279,他者
11-280,自我
11-281,符号
11-282,世界
11-283,自我
11-284,他者
11-285,自我
11-286,同一
11-287,自我
11-288,世界
11-289,世界
11-290,自我
11-291,自我
11-292,自我
11-293,自我
11-294,他者
11-295,自我
11-296,自我
11-297,世界
11-298,自我
11-299,他者
11-300,自我
